method	config	step	zvf	applied_G	fire_step
grpo	C_raw_tau_0.70	0	0.6875	8	0
grpo	C_raw_tau_0.70	1	0.5	8	0
grpo	C_raw_tau_0.70	2	0.6875	8	0
grpo	C_raw_tau_0.70	3	0.75	16	1
grpo	C_raw_tau_0.70	4	0.6875	8	0
grpo	C_raw_tau_0.70	5	0.6875	8	0
grpo	C_raw_tau_0.70	6	0.8125	16	1
grpo	C_raw_tau_0.70	7	0.6875	8	0
grpo	C_raw_tau_0.70	8	0.5625	8	0
grpo	C_raw_tau_0.70	9	0.6875	8	0
grpo	C_raw_tau_0.70	10	0.6875	8	0
grpo	C_raw_tau_0.70	11	0.6875	8	0
grpo	C_raw_tau_0.70	12	0.8125	16	1
grpo	C_raw_tau_0.70	13	0.5625	8	0
grpo	C_raw_tau_0.70	14	0.75	16	1
grpo	C_raw_tau_0.70	15	0.75	16	1
grpo	C_raw_tau_0.70	16	0.625	8	0
grpo	C_raw_tau_0.70	17	0.5	8	0
grpo	C_raw_tau_0.70	18	0.5625	8	0
grpo	C_raw_tau_0.70	19	0.625	8	0
grpo	C_raw_tau_0.70	20	0.625	8	0
grpo	C_raw_tau_0.70	21	0.75	16	1
grpo	C_raw_tau_0.70	22	0.75	16	1
grpo	C_raw_tau_0.70	23	0.875	16	1
grpo	C_raw_tau_0.70	24	0.8125	16	1
grpo	C_raw_tau_0.70	25	0.5625	8	0
grpo	C_raw_tau_0.70	26	0.8125	16	1
grpo	C_raw_tau_0.70	27	0.9375	16	1
grpo	C_raw_tau_0.70	28	0.8125	16	1
grpo	C_raw_tau_0.70	29	0.8125	16	1
grpo	C_raw_tau_0.70	30	0.8125	16	1
grpo	C_raw_tau_0.70	31	0.75	16	1
grpo	C_raw_tau_0.70	32	0.6875	8	0
grpo	C_raw_tau_0.70	33	0.6875	8	0
grpo	C_raw_tau_0.70	34	0.875	16	1
grpo	C_raw_tau_0.70	35	0.9375	16	1
grpo	C_raw_tau_0.70	36	0.8125	16	1
grpo	C_raw_tau_0.70	37	0.75	16	1
grpo	C_raw_tau_0.70	38	0.6875	8	0
grpo	C_raw_tau_0.70	39	0.75	16	1
grpo	C_hyst_0.70_2_2	0	0.6875	8	0
grpo	C_hyst_0.70_2_2	1	0.5	8	0
grpo	C_hyst_0.70_2_2	2	0.6875	8	0
grpo	C_hyst_0.70_2_2	3	0.75	8	0
grpo	C_hyst_0.70_2_2	4	0.6875	8	0
grpo	C_hyst_0.70_2_2	5	0.6875	8	0
grpo	C_hyst_0.70_2_2	6	0.8125	8	0
grpo	C_hyst_0.70_2_2	7	0.6875	8	0
grpo	C_hyst_0.70_2_2	8	0.5625	8	0
grpo	C_hyst_0.70_2_2	9	0.6875	8	0
grpo	C_hyst_0.70_2_2	10	0.6875	8	0
grpo	C_hyst_0.70_2_2	11	0.6875	8	0
grpo	C_hyst_0.70_2_2	12	0.8125	8	0
grpo	C_hyst_0.70_2_2	13	0.5625	8	0
grpo	C_hyst_0.70_2_2	14	0.75	8	0
grpo	C_hyst_0.70_2_2	15	0.75	16	1
grpo	C_hyst_0.70_2_2	16	0.625	16	1
grpo	C_hyst_0.70_2_2	17	0.5	8	0
grpo	C_hyst_0.70_2_2	18	0.5625	8	0
grpo	C_hyst_0.70_2_2	19	0.625	8	0
grpo	C_hyst_0.70_2_2	20	0.625	8	0
grpo	C_hyst_0.70_2_2	21	0.75	8	0
grpo	C_hyst_0.70_2_2	22	0.75	16	1
grpo	C_hyst_0.70_2_2	23	0.875	16	1
grpo	C_hyst_0.70_2_2	24	0.8125	16	1
grpo	C_hyst_0.70_2_2	25	0.5625	16	1
grpo	C_hyst_0.70_2_2	26	0.8125	16	1
grpo	C_hyst_0.70_2_2	27	0.9375	16	1
grpo	C_hyst_0.70_2_2	28	0.8125	16	1
grpo	C_hyst_0.70_2_2	29	0.8125	16	1
