method	step	tau	zvf	total_G_prompts	baseline_G_prompts	savings	contrast_intent	fires_des	headroom_bad
gift	32	0.3	0.75	80	128	0.375	12	12	12
gift	33	0.3	0.9375	68	128	0.46875	15	15	15
gift	34	0.3	1.0	64	128	0.5	16	16	16
gift	35	0.3	0.9375	68	128	0.46875	15	15	15
gift	36	0.3	0.9375	68	128	0.46875	15	15	15
gift	37	0.3	0.875	72	128	0.4375	14	14	14
gift	38	0.3	0.9375	68	128	0.46875	15	15	15
gift	39	0.3	0.8125	76	128	0.40625	13	13	13
areal	0	0.3	0.6875	84	128	0.34375	11	11	11
areal	1	0.3	0.5	96	128	0.25	8	8	8
areal	2	0.3	0.6875	84	128	0.34375	11	11	11
areal	3	0.3	0.6875	84	128	0.34375	11	11	11
areal	4	0.3	0.5	96	128	0.25	8	8	8
areal	5	0.3	0.75	80	128	0.375	12	12	12
areal	6	0.3	0.6875	84	128	0.34375	11	11	11
areal	7	0.3	0.875	72	128	0.4375	14	14	14
areal	8	0.3	0.625	88	128	0.3125	10	10	10
areal	9	0.3	0.6875	84	128	0.34375	11	11	11
areal	10	0.3	0.6875	84	128	0.34375	11	11	11
areal	11	0.3	0.5	96	128	0.25	8	8	8
areal	12	0.3	0.8125	76	128	0.40625	13	13	13
areal	13	0.3	0.5625	92	128	0.28125	9	9	9
areal	14	0.3	0.6875	84	128	0.34375	11	11	11
areal	15	0.3	0.6875	84	128	0.34375	11	11	11
areal	16	0.3	0.625	88	128	0.3125	10	10	10
areal	17	0.3	0.5	96	128	0.25	8	8	8
areal	18	0.3	0.5625	92	128	0.28125	9	9	9
areal	19	0.3	0.75	80	128	0.375	12	12	12
areal	20	0.3	0.6875	84	128	0.34375	11	11	11
areal	21	0.3	0.6875	84	128	0.34375	11	11	11
areal	22	0.3	0.8125	76	128	0.40625	13	13	13
areal	23	0.3	0.8125	76	128	0.40625	13	13	13
areal	24	0.3	0.875	72	128	0.4375	14	14	14
areal	25	0.3	0.625	88	128	0.3125	10	10	10
areal	26	0.3	0.875	72	128	0.4375	14	14	14
areal	27	0.3	0.9375	68	128	0.46875	15	15	15
areal	28	0.3	0.875	72	128	0.4375	14	14	14
areal	29	0.3	0.8125	76	128	0.40625	13	13	13
areal	30	0.3	0.75	80	128	0.375	12	12	12
areal	31	0.3	0.5625	92	128	0.28125	9	9	9
areal	32	0.3	0.75	80	128	0.375	12	12	12
areal	33	0.3	0.625	88	128	0.3125	10	10	10
areal	34	0.3	0.6875	84	128	0.34375	11	11	11
areal	35	0.3	0.8125	76	128	0.40625	13	13	13
areal	36	0.3	0.75	80	128	0.375	12	12	12
areal	37	0.3	0.6875	84	128	0.34375	11	11	11
areal	38	0.3	0.8125	76	128	0.40625	13	13	13
areal	39	0.3	0.75	80	128	0.375	12	12	12
grpo	0	0.35	0.6875	84	128	0.34375	11	11	11
grpo	1	0.35	0.5	96	128	0.25	8	8	8
grpo	2	0.35	0.6875	84	128	0.34375	11	11	11
grpo	3	0.35	0.75	80	128	0.375	12	12	12
grpo	4	0.35	0.6875	84	128	0.34375	11	11	11
grpo	5	0.35	0.6875	84	128	0.34375	11	11	11
grpo	6	0.35	0.8125	76	128	0.40625	13	13	13
grpo	7	0.35	0.6875	84	128	0.34375	11	11	11
grpo	8	0.35	0.5625	92	128	0.28125	9	9	9
grpo	9	0.35	0.6875	84	128	0.34375	11	11	11
grpo	10	0.35	0.6875	84	128	0.34375	11	11	11
grpo	11	0.35	0.6875	84	128	0.34375	11	11	11
grpo	12	0.35	0.8125	76	128	0.40625	13	13	13
grpo	13	0.35	0.5625	92	128	0.28125	9	9	9
grpo	14	0.35	0.75	80	128	0.375	12	12	12
grpo	15	0.35	0.75	80	128	0.375	12	12	12
grpo	16	0.35	0.625	88	128	0.3125	10	10	10
grpo	17	0.35	0.5	96	128	0.25	8	8	8
grpo	18	0.35	0.5625	92	128	0.28125	9	9	9
grpo	19	0.35	0.625	88	128	0.3125	10	10	10
grpo	20	0.35	0.625	88	128	0.3125	10	10	10
grpo	21	0.35	0.75	80	128	0.375	12	12	12
grpo	22	0.35	0.75	80	128	0.375	12	12	12
grpo	23	0.35	0.875	72	128	0.4375	14	14	14
grpo	24	0.35	0.8125	76	128	0.40625	13	13	13
grpo	25	0.35	0.5625	92	128	0.28125	9	9	9
grpo	26	0.35	0.8125	76	128	0.40625	13	13	13
grpo	27	0.35	0.9375	68	128	0.46875	15	15	15
grpo	28	0.35	0.8125	76	128	0.40625	13	13	13
grpo	29	0.35	0.8125	76	128	0.40625	13	13	13
grpo	30	0.35	0.8125	76	128	0.40625	13	13	13
grpo	31	0.35	0.75	80	128	0.375	12	12	12
grpo	32	0.35	0.6875	84	128	0.34375	11	11	11
grpo	33	0.35	0.6875	84	128	0.34375	11	11	11
grpo	34	0.35	0.875	72	128	0.4375	14	14	14
grpo	35	0.35	0.9375	68	128	0.46875	15	15	15
grpo	36	0.35	0.8125	76	128	0.40625	13	13	13
grpo	37	0.35	0.75	80	128	0.375	12	12	12
grpo	38	0.35	0.6875	84	128	0.34375	11	11	11
grpo	39	0.35	0.75	80	128	0.375	12	12	12
aero	0	0.35	0.6875	84	128	0.34375	11	11	11
aero	1	0.35	0.6875	84	128	0.34375	11	11	11
aero	2	0.35	0.8125	76	128	0.40625	13	13	13
aero	3	0.35	0.6875	84	128	0.34375	11	11	11
aero	4	0.35	0.75	80	128	0.375	12	12	12
aero	5	0.35	0.5625	92	128	0.28125	9	9	9
aero	6	0.35	0.75	80	128	0.375	12	12	12
aero	7	0.35	0.625	88	128	0.3125	10	10	10
aero	8	0.35	0.6875	84	128	0.34375	11	11	11
aero	9	0.35	0.625	88	128	0.3125	10	10	10
aero	10	0.35	0.75	80	128	0.375	12	12	12
aero	11	0.35	0.5625	92	128	0.28125	9	9	9
aero	12	0.35	0.6875	84	128	0.34375	11	11	11
aero	13	0.35	0.5625	92	128	0.28125	9	9	9
aero	14	0.35	0.75	80	128	0.375	12	12	12
aero	15	0.35	0.8125	76	128	0.40625	13	13	13
aero	16	0.35	0.5625	92	128	0.28125	9	9	9
aero	17	0.35	0.5625	92	128	0.28125	9	9	9
aero	18	0.35	0.625	88	128	0.3125	10	10	10
aero	19	0.35	0.625	88	128	0.3125	10	10	10
aero	20	0.35	0.625	88	128	0.3125	10	10	10
aero	21	0.35	0.8125	76	128	0.40625	13	13	13
aero	22	0.35	0.6875	84	128	0.34375	11	11	11
aero	23	0.35	0.8125	76	128	0.40625	13	13	13
aero	24	0.35	0.8125	76	128	0.40625	13	13	13
aero	25	0.35	0.6875	84	128	0.34375	11	11	11
aero	26	0.35	0.875	72	128	0.4375	14	14	14
aero	27	0.35	0.9375	68	128	0.46875	15	15	15
aero	28	0.35	0.8125	76	128	0.40625	13	13	13
aero	29	0.35	0.875	72	128	0.4375	14	14	14
aero	30	0.35	0.8125	76	128	0.40625	13	13	13
aero	31	0.35	0.8125	76	128	0.40625	13	13	13
aero	32	0.35	0.75	80	128	0.375	12	12	12
aero	33	0.35	0.625	88	128	0.3125	10	10	10
aero	34	0.35	0.875	72	128	0.4375	14	14	14
aero	35	0.35	0.8125	76	128	0.40625	13	13	13
aero	36	0.35	0.8125	76	128	0.40625	13	13	13
aero	37	0.35	0.6875	84	128	0.34375	11	11	11
aero	38	0.35	0.6875	84	128	0.34375	11	11	11
aero	39	0.35	0.625	88	128	0.3125	10	10	10
gift	0	0.35	0.75	80	128	0.375	12	12	12
gift	1	0.35	0.5625	92	128	0.28125	9	9	9
gift	2	0.35	0.6875	84	128	0.34375	11	11	11
gift	3	0.35	0.5625	92	128	0.28125	9	9	9
gift	4	0.35	0.6875	84	128	0.34375	11	11	11
gift	5	0.35	0.625	88	128	0.3125	10	10	10
gift	6	0.35	0.75	80	128	0.375	12	12	12
gift	7	0.35	0.6875	84	128	0.34375	11	11	11
gift	8	0.35	0.625	88	128	0.3125	10	10	10
gift	9	0.35	0.625	88	128	0.3125	10	10	10
gift	10	0.35	0.75	80	128	0.375	12	12	12
gift	11	0.35	0.625	88	128	0.3125	10	10	10
gift	12	0.35	0.75	80	128	0.375	12	12	12
gift	13	0.35	0.5625	92	128	0.28125	9	9	9
gift	14	0.35	0.8125	76	128	0.40625	13	13	13
gift	15	0.35	0.625	88	128	0.3125	10	10	10
gift	16	0.35	0.625	88	128	0.3125	10	10	10
gift	17	0.35	0.75	80	128	0.375	12	12	12
gift	18	0.35	0.625	88	128	0.3125	10	10	10
gift	19	0.35	0.75	80	128	0.375	12	12	12
gift	20	0.35	0.6875	84	128	0.34375	11	11	11
gift	21	0.35	0.75	80	128	0.375	12	12	12
gift	22	0.35	0.875	72	128	0.4375	14	14	14
gift	23	0.35	0.875	72	128	0.4375	14	14	14
gift	24	0.35	0.875	72	128	0.4375	14	14	14
gift	25	0.35	0.75	80	128	0.375	12	12	12
gift	26	0.35	0.8125	76	128	0.40625	13	13	13
gift	27	0.35	0.9375	68	128	0.46875	15	15	15
gift	28	0.35	0.875	72	128	0.4375	14	14	14
gift	29	0.35	0.9375	68	128	0.46875	15	15	15
gift	30	0.35	0.875	72	128	0.4375	14	14	14
gift	31	0.35	0.9375	68	128	0.46875	15	15	15
gift	32	0.35	0.75	80	128	0.375	12	12	12
gift	33	0.35	0.9375	68	128	0.46875	15	15	15
gift	34	0.35	1.0	64	128	0.5	16	16	16
gift	35	0.35	0.9375	68	128	0.46875	15	15	15
gift	36	0.35	0.9375	68	128	0.46875	15	15	15
gift	37	0.35	0.875	72	128	0.4375	14	14	14
gift	38	0.35	0.9375	68	128	0.46875	15	15	15
gift	39	0.35	0.8125	76	128	0.40625	13	13	13
areal	0	0.35	0.6875	84	128	0.34375	11	11	11
areal	1	0.35	0.5	96	128	0.25	8	8	8
areal	2	0.35	0.6875	84	128	0.34375	11	11	11
areal	3	0.35	0.6875	84	128	0.34375	11	11	11
areal	4	0.35	0.5	96	128	0.25	8	8	8
areal	5	0.35	0.75	80	128	0.375	12	12	12
areal	6	0.35	0.6875	84	128	0.34375	11	11	11
areal	7	0.35	0.875	72	128	0.4375	14	14	14
areal	8	0.35	0.625	88	128	0.3125	10	10	10
areal	9	0.35	0.6875	84	128	0.34375	11	11	11
areal	10	0.35	0.6875	84	128	0.34375	11	11	11
areal	11	0.35	0.5	96	128	0.25	8	8	8
areal	12	0.35	0.8125	76	128	0.40625	13	13	13
areal	13	0.35	0.5625	92	128	0.28125	9	9	9
areal	14	0.35	0.6875	84	128	0.34375	11	11	11
areal	15	0.35	0.6875	84	128	0.34375	11	11	11
areal	16	0.35	0.625	88	128	0.3125	10	10	10
areal	17	0.35	0.5	96	128	0.25	8	8	8
areal	18	0.35	0.5625	92	128	0.28125	9	9	9
areal	19	0.35	0.75	80	128	0.375	12	12	12
areal	20	0.35	0.6875	84	128	0.34375	11	11	11
areal	21	0.35	0.6875	84	128	0.34375	11	11	11
areal	22	0.35	0.8125	76	128	0.40625	13	13	13
areal	23	0.35	0.8125	76	128	0.40625	13	13	13
areal	24	0.35	0.875	72	128	0.4375	14	14	14
areal	25	0.35	0.625	88	128	0.3125	10	10	10
areal	26	0.35	0.875	72	128	0.4375	14	14	14
areal	27	0.35	0.9375	68	128	0.46875	15	15	15
areal	28	0.35	0.875	72	128	0.4375	14	14	14
areal	29	0.35	0.8125	76	128	0.40625	13	13	13
areal	30	0.35	0.75	80	128	0.375	12	12	12
areal	31	0.35	0.5625	92	128	0.28125	9	9	9
areal	32	0.35	0.75	80	128	0.375	12	12	12
areal	33	0.35	0.625	88	128	0.3125	10	10	10
areal	34	0.35	0.6875	84	128	0.34375	11	11	11
areal	35	0.35	0.8125	76	128	0.40625	13	13	13
areal	36	0.35	0.75	80	128	0.375	12	12	12
areal	37	0.35	0.6875	84	128	0.34375	11	11	11
areal	38	0.35	0.8125	76	128	0.40625	13	13	13
areal	39	0.35	0.75	80	128	0.375	12	12	12
grpo	0	0.4	0.6875	84	128	0.34375	11	11	11
grpo	1	0.4	0.5	96	128	0.25	8	8	8
grpo	2	0.4	0.6875	84	128	0.34375	11	11	11
grpo	3	0.4	0.75	80	128	0.375	12	12	12
grpo	4	0.4	0.6875	84	128	0.34375	11	11	11
grpo	5	0.4	0.6875	84	128	0.34375	11	11	11
grpo	6	0.4	0.8125	76	128	0.40625	13	13	13
grpo	7	0.4	0.6875	84	128	0.34375	11	11	11
grpo	8	0.4	0.5625	92	128	0.28125	9	9	9
grpo	9	0.4	0.6875	84	128	0.34375	11	11	11
grpo	10	0.4	0.6875	84	128	0.34375	11	11	11
grpo	11	0.4	0.6875	84	128	0.34375	11	11	11
grpo	12	0.4	0.8125	76	128	0.40625	13	13	13
grpo	13	0.4	0.5625	92	128	0.28125	9	9	9
grpo	14	0.4	0.75	80	128	0.375	12	12	12
grpo	15	0.4	0.75	80	128	0.375	12	12	12
grpo	16	0.4	0.625	88	128	0.3125	10	10	10
grpo	17	0.4	0.5	96	128	0.25	8	8	8
grpo	18	0.4	0.5625	92	128	0.28125	9	9	9
grpo	19	0.4	0.625	88	128	0.3125	10	10	10
grpo	20	0.4	0.625	88	128	0.3125	10	10	10
grpo	21	0.4	0.75	80	128	0.375	12	12	12
grpo	22	0.4	0.75	80	128	0.375	12	12	12
grpo	23	0.4	0.875	72	128	0.4375	14	14	14
grpo	24	0.4	0.8125	76	128	0.40625	13	13	13
grpo	25	0.4	0.5625	92	128	0.28125	9	9	9
grpo	26	0.4	0.8125	76	128	0.40625	13	13	13
grpo	27	0.4	0.9375	68	128	0.46875	15	15	15
grpo	28	0.4	0.8125	76	128	0.40625	13	13	13
grpo	29	0.4	0.8125	76	128	0.40625	13	13	13
grpo	30	0.4	0.8125	76	128	0.40625	13	13	13
grpo	31	0.4	0.75	80	128	0.375	12	12	12
grpo	32	0.4	0.6875	84	128	0.34375	11	11	11
grpo	33	0.4	0.6875	84	128	0.34375	11	11	11
grpo	34	0.4	0.875	72	128	0.4375	14	14	14
grpo	35	0.4	0.9375	68	128	0.46875	15	15	15
grpo	36	0.4	0.8125	76	128	0.40625	13	13	13
grpo	37	0.4	0.75	80	128	0.375	12	12	12
grpo	38	0.4	0.6875	84	128	0.34375	11	11	11
grpo	39	0.4	0.75	80	128	0.375	12	12	12
aero	0	0.4	0.6875	84	128	0.34375	11	11	11
aero	1	0.4	0.6875	84	128	0.34375	11	11	11
aero	2	0.4	0.8125	76	128	0.40625	13	13	13
aero	3	0.4	0.6875	84	128	0.34375	11	11	11
aero	4	0.4	0.75	80	128	0.375	12	12	12
aero	5	0.4	0.5625	92	128	0.28125	9	9	9
aero	6	0.4	0.75	80	128	0.375	12	12	12
aero	7	0.4	0.625	88	128	0.3125	10	10	10
aero	8	0.4	0.6875	84	128	0.34375	11	11	11
aero	9	0.4	0.625	88	128	0.3125	10	10	10
aero	10	0.4	0.75	80	128	0.375	12	12	12
aero	11	0.4	0.5625	92	128	0.28125	9	9	9
aero	12	0.4	0.6875	84	128	0.34375	11	11	11
aero	13	0.4	0.5625	92	128	0.28125	9	9	9
aero	14	0.4	0.75	80	128	0.375	12	12	12
aero	15	0.4	0.8125	76	128	0.40625	13	13	13
aero	16	0.4	0.5625	92	128	0.28125	9	9	9
aero	17	0.4	0.5625	92	128	0.28125	9	9	9
aero	18	0.4	0.625	88	128	0.3125	10	10	10
aero	19	0.4	0.625	88	128	0.3125	10	10	10
aero	20	0.4	0.625	88	128	0.3125	10	10	10
aero	21	0.4	0.8125	76	128	0.40625	13	13	13
aero	22	0.4	0.6875	84	128	0.34375	11	11	11
aero	23	0.4	0.8125	76	128	0.40625	13	13	13
aero	24	0.4	0.8125	76	128	0.40625	13	13	13
aero	25	0.4	0.6875	84	128	0.34375	11	11	11
aero	26	0.4	0.875	72	128	0.4375	14	14	14
aero	27	0.4	0.9375	68	128	0.46875	15	15	15
aero	28	0.4	0.8125	76	128	0.40625	13	13	13
aero	29	0.4	0.875	72	128	0.4375	14	14	14
aero	30	0.4	0.8125	76	128	0.40625	13	13	13
aero	31	0.4	0.8125	76	128	0.40625	13	13	13
aero	32	0.4	0.75	80	128	0.375	12	12	12
aero	33	0.4	0.625	88	128	0.3125	10	10	10
aero	34	0.4	0.875	72	128	0.4375	14	14	14
aero	35	0.4	0.8125	76	128	0.40625	13	13	13
aero	36	0.4	0.8125	76	128	0.40625	13	13	13
aero	37	0.4	0.6875	84	128	0.34375	11	11	11
aero	38	0.4	0.6875	84	128	0.34375	11	11	11
aero	39	0.4	0.625	88	128	0.3125	10	10	10
gift	0	0.4	0.75	80	128	0.375	12	12	12
gift	1	0.4	0.5625	92	128	0.28125	9	9	9
gift	2	0.4	0.6875	84	128	0.34375	11	11	11
gift	3	0.4	0.5625	92	128	0.28125	9	9	9
gift	4	0.4	0.6875	84	128	0.34375	11	11	11
gift	5	0.4	0.625	88	128	0.3125	10	10	10
gift	6	0.4	0.75	80	128	0.375	12	12	12
gift	7	0.4	0.6875	84	128	0.34375	11	11	11
gift	8	0.4	0.625	88	128	0.3125	10	10	10
gift	9	0.4	0.625	88	128	0.3125	10	10	10
gift	10	0.4	0.75	80	128	0.375	12	12	12
gift	11	0.4	0.625	88	128	0.3125	10	10	10
gift	12	0.4	0.75	80	128	0.375	12	12	12
gift	13	0.4	0.5625	92	128	0.28125	9	9	9
gift	14	0.4	0.8125	76	128	0.40625	13	13	13
gift	15	0.4	0.625	88	128	0.3125	10	10	10
gift	16	0.4	0.625	88	128	0.3125	10	10	10
gift	17	0.4	0.75	80	128	0.375	12	12	12
gift	18	0.4	0.625	88	128	0.3125	10	10	10
gift	19	0.4	0.75	80	128	0.375	12	12	12
gift	20	0.4	0.6875	84	128	0.34375	11	11	11
gift	21	0.4	0.75	80	128	0.375	12	12	12
gift	22	0.4	0.875	72	128	0.4375	14	14	14
gift	23	0.4	0.875	72	128	0.4375	14	14	14
gift	24	0.4	0.875	72	128	0.4375	14	14	14
gift	25	0.4	0.75	80	128	0.375	12	12	12
gift	26	0.4	0.8125	76	128	0.40625	13	13	13
gift	27	0.4	0.9375	68	128	0.46875	15	15	15
gift	28	0.4	0.875	72	128	0.4375	14	14	14
gift	29	0.4	0.9375	68	128	0.46875	15	15	15
gift	30	0.4	0.875	72	128	0.4375	14	14	14
gift	31	0.4	0.9375	68	128	0.46875	15	15	15
gift	32	0.4	0.75	80	128	0.375	12	12	12
gift	33	0.4	0.9375	68	128	0.46875	15	15	15
gift	34	0.4	1.0	64	128	0.5	16	16	16
gift	35	0.4	0.9375	68	128	0.46875	15	15	15
gift	36	0.4	0.9375	68	128	0.46875	15	15	15
gift	37	0.4	0.875	72	128	0.4375	14	14	14
gift	38	0.4	0.9375	68	128	0.46875	15	15	15
gift	39	0.4	0.8125	76	128	0.40625	13	13	13
areal	0	0.4	0.6875	84	128	0.34375	11	11	11
areal	1	0.4	0.5	96	128	0.25	8	8	8
areal	2	0.4	0.6875	84	128	0.34375	11	11	11
areal	3	0.4	0.6875	84	128	0.34375	11	11	11
areal	4	0.4	0.5	96	128	0.25	8	8	8
areal	5	0.4	0.75	80	128	0.375	12	12	12
areal	6	0.4	0.6875	84	128	0.34375	11	11	11
areal	7	0.4	0.875	72	128	0.4375	14	14	14
areal	8	0.4	0.625	88	128	0.3125	10	10	10
areal	9	0.4	0.6875	84	128	0.34375	11	11	11
areal	10	0.4	0.6875	84	128	0.34375	11	11	11
areal	11	0.4	0.5	96	128	0.25	8	8	8
areal	12	0.4	0.8125	76	128	0.40625	13	13	13
areal	13	0.4	0.5625	92	128	0.28125	9	9	9
areal	14	0.4	0.6875	84	128	0.34375	11	11	11
areal	15	0.4	0.6875	84	128	0.34375	11	11	11
areal	16	0.4	0.625	88	128	0.3125	10	10	10
areal	17	0.4	0.5	96	128	0.25	8	8	8
areal	18	0.4	0.5625	92	128	0.28125	9	9	9
areal	19	0.4	0.75	80	128	0.375	12	12	12
areal	20	0.4	0.6875	84	128	0.34375	11	11	11
areal	21	0.4	0.6875	84	128	0.34375	11	11	11
areal	22	0.4	0.8125	76	128	0.40625	13	13	13
areal	23	0.4	0.8125	76	128	0.40625	13	13	13
areal	24	0.4	0.875	72	128	0.4375	14	14	14
areal	25	0.4	0.625	88	128	0.3125	10	10	10
areal	26	0.4	0.875	72	128	0.4375	14	14	14
areal	27	0.4	0.9375	68	128	0.46875	15	15	15
areal	28	0.4	0.875	72	128	0.4375	14	14	14
areal	29	0.4	0.8125	76	128	0.40625	13	13	13
areal	30	0.4	0.75	80	128	0.375	12	12	12
areal	31	0.4	0.5625	92	128	0.28125	9	9	9
areal	32	0.4	0.75	80	128	0.375	12	12	12
areal	33	0.4	0.625	88	128	0.3125	10	10	10
areal	34	0.4	0.6875	84	128	0.34375	11	11	11
areal	35	0.4	0.8125	76	128	0.40625	13	13	13
areal	36	0.4	0.75	80	128	0.375	12	12	12
areal	37	0.4	0.6875	84	128	0.34375	11	11	11
areal	38	0.4	0.8125	76	128	0.40625	13	13	13
areal	39	0.4	0.75	80	128	0.375	12	12	12
grpo	0	0.45	0.6875	84	128	0.34375	11	11	11
grpo	1	0.45	0.5	96	128	0.25	8	8	8
grpo	2	0.45	0.6875	84	128	0.34375	11	11	11
grpo	3	0.45	0.75	80	128	0.375	12	12	12
grpo	4	0.45	0.6875	84	128	0.34375	11	11	11
grpo	5	0.45	0.6875	84	128	0.34375	11	11	11
