source	source_best_tau	source_worst_tau	target	step	zvf_target	zvf_source	fires_at_source_best	fires_at_source_worst
aero	n/a	0.50	grpo	22	0.750000	0.687500	0	1
aero	n/a	0.50	grpo	23	0.875000	0.812500	0	1
aero	n/a	0.50	grpo	24	0.812500	0.812500	0	1
aero	n/a	0.50	grpo	25	0.562500	0.687500	0	1
aero	n/a	0.50	grpo	26	0.812500	0.875000	0	1
aero	n/a	0.50	grpo	27	0.937500	0.937500	0	1
aero	n/a	0.50	grpo	28	0.812500	0.812500	0	1
aero	n/a	0.50	grpo	29	0.812500	0.875000	0	1
aero	n/a	0.50	grpo	30	0.812500	0.812500	0	1
aero	n/a	0.50	grpo	31	0.750000	0.812500	0	1
aero	n/a	0.50	grpo	32	0.687500	0.750000	0	1
aero	n/a	0.50	grpo	33	0.687500	0.625000	0	1
aero	n/a	0.50	grpo	34	0.875000	0.875000	0	1
aero	n/a	0.50	grpo	35	0.937500	0.812500	0	1
aero	n/a	0.50	grpo	36	0.812500	0.812500	0	1
aero	n/a	0.50	grpo	37	0.750000	0.687500	0	1
aero	n/a	0.50	grpo	38	0.687500	0.687500	0	1
aero	n/a	0.50	grpo	39	0.750000	0.625000	0	1
aero	n/a	0.50	aero	0	0.687500	0.687500	0	0
aero	n/a	0.50	aero	1	0.687500	0.687500	0	0
aero	n/a	0.50	aero	2	0.812500	0.812500	0	1
aero	n/a	0.50	aero	3	0.687500	0.687500	0	1
aero	n/a	0.50	aero	4	0.750000	0.750000	0	1
aero	n/a	0.50	aero	5	0.562500	0.562500	0	1
aero	n/a	0.50	aero	6	0.750000	0.750000	0	1
aero	n/a	0.50	aero	7	0.625000	0.625000	0	1
aero	n/a	0.50	aero	8	0.687500	0.687500	0	1
aero	n/a	0.50	aero	9	0.625000	0.625000	0	1
aero	n/a	0.50	aero	10	0.750000	0.750000	0	1
aero	n/a	0.50	aero	11	0.562500	0.562500	0	1
aero	n/a	0.50	aero	12	0.687500	0.687500	0	1
aero	n/a	0.50	aero	13	0.562500	0.562500	0	1
aero	n/a	0.50	aero	14	0.750000	0.750000	0	1
aero	n/a	0.50	aero	15	0.812500	0.812500	0	1
aero	n/a	0.50	aero	16	0.562500	0.562500	0	1
aero	n/a	0.50	aero	17	0.562500	0.562500	0	1
aero	n/a	0.50	aero	18	0.625000	0.625000	0	1
aero	n/a	0.50	aero	19	0.625000	0.625000	0	1
aero	n/a	0.50	aero	20	0.625000	0.625000	0	1
aero	n/a	0.50	aero	21	0.812500	0.812500	0	1
aero	n/a	0.50	aero	22	0.687500	0.687500	0	1
aero	n/a	0.50	aero	23	0.812500	0.812500	0	1
aero	n/a	0.50	aero	24	0.812500	0.812500	0	1
aero	n/a	0.50	aero	25	0.687500	0.687500	0	1
aero	n/a	0.50	aero	26	0.875000	0.875000	0	1
aero	n/a	0.50	aero	27	0.937500	0.937500	0	1
aero	n/a	0.50	aero	28	0.812500	0.812500	0	1
aero	n/a	0.50	aero	29	0.875000	0.875000	0	1
aero	n/a	0.50	aero	30	0.812500	0.812500	0	1
aero	n/a	0.50	aero	31	0.812500	0.812500	0	1
aero	n/a	0.50	aero	32	0.750000	0.750000	0	1
aero	n/a	0.50	aero	33	0.625000	0.625000	0	1
aero	n/a	0.50	aero	34	0.875000	0.875000	0	1
aero	n/a	0.50	aero	35	0.812500	0.812500	0	1
aero	n/a	0.50	aero	36	0.812500	0.812500	0	1
aero	n/a	0.50	aero	37	0.687500	0.687500	0	1
aero	n/a	0.50	aero	38	0.687500	0.687500	0	1
aero	n/a	0.50	aero	39	0.625000	0.625000	0	1
aero	n/a	0.50	gift	0	0.750000	0.687500	0	0
aero	n/a	0.50	gift	1	0.562500	0.687500	0	0
aero	n/a	0.50	gift	2	0.687500	0.812500	0	1
aero	n/a	0.50	gift	3	0.562500	0.687500	0	1
aero	n/a	0.50	gift	4	0.687500	0.750000	0	1
aero	n/a	0.50	gift	5	0.625000	0.562500	0	1
aero	n/a	0.50	gift	6	0.750000	0.750000	0	1
aero	n/a	0.50	gift	7	0.687500	0.625000	0	1
aero	n/a	0.50	gift	8	0.625000	0.687500	0	1
aero	n/a	0.50	gift	9	0.625000	0.625000	0	1
aero	n/a	0.50	gift	10	0.750000	0.750000	0	1
aero	n/a	0.50	gift	11	0.625000	0.562500	0	1
aero	n/a	0.50	gift	12	0.750000	0.687500	0	1
aero	n/a	0.50	gift	13	0.562500	0.562500	0	1
aero	n/a	0.50	gift	14	0.812500	0.750000	0	1
aero	n/a	0.50	gift	15	0.625000	0.812500	0	1
aero	n/a	0.50	gift	16	0.625000	0.562500	0	1
aero	n/a	0.50	gift	17	0.750000	0.562500	0	1
aero	n/a	0.50	gift	18	0.625000	0.625000	0	1
aero	n/a	0.50	gift	19	0.750000	0.625000	0	1
aero	n/a	0.50	gift	20	0.687500	0.625000	0	1
aero	n/a	0.50	gift	21	0.750000	0.812500	0	1
aero	n/a	0.50	gift	22	0.875000	0.687500	0	1
aero	n/a	0.50	gift	23	0.875000	0.812500	0	1
aero	n/a	0.50	gift	24	0.875000	0.812500	0	1
aero	n/a	0.50	gift	25	0.750000	0.687500	0	1
aero	n/a	0.50	gift	26	0.812500	0.875000	0	1
aero	n/a	0.50	gift	27	0.937500	0.937500	0	1
aero	n/a	0.50	gift	28	0.875000	0.812500	0	1
aero	n/a	0.50	gift	29	0.937500	0.875000	0	1
aero	n/a	0.50	gift	30	0.875000	0.812500	0	1
aero	n/a	0.50	gift	31	0.937500	0.812500	0	1
aero	n/a	0.50	gift	32	0.750000	0.750000	0	1
aero	n/a	0.50	gift	33	0.937500	0.625000	0	1
aero	n/a	0.50	gift	34	1.000000	0.875000	0	1
aero	n/a	0.50	gift	35	0.937500	0.812500	0	1
aero	n/a	0.50	gift	36	0.937500	0.812500	0	1
aero	n/a	0.50	gift	37	0.875000	0.687500	0	1
aero	n/a	0.50	gift	38	0.937500	0.687500	0	1
aero	n/a	0.50	gift	39	0.812500	0.625000	0	1
aero	n/a	0.50	areal	0	0.687500	0.687500	0	0
aero	n/a	0.50	areal	1	0.500000	0.687500	0	0
aero	n/a	0.50	areal	2	0.687500	0.812500	0	1
aero	n/a	0.50	areal	3	0.687500	0.687500	0	1
aero	n/a	0.50	areal	4	0.500000	0.750000	0	1
aero	n/a	0.50	areal	5	0.750000	0.562500	0	1
aero	n/a	0.50	areal	6	0.687500	0.750000	0	1
aero	n/a	0.50	areal	7	0.875000	0.625000	0	1
aero	n/a	0.50	areal	8	0.625000	0.687500	0	1
aero	n/a	0.50	areal	9	0.687500	0.625000	0	1
aero	n/a	0.50	areal	10	0.687500	0.750000	0	1
aero	n/a	0.50	areal	11	0.500000	0.562500	0	1
aero	n/a	0.50	areal	12	0.812500	0.687500	0	1
aero	n/a	0.50	areal	13	0.562500	0.562500	0	1
aero	n/a	0.50	areal	14	0.687500	0.750000	0	1
aero	n/a	0.50	areal	15	0.687500	0.812500	0	1
aero	n/a	0.50	areal	16	0.625000	0.562500	0	1
aero	n/a	0.50	areal	17	0.500000	0.562500	0	1
aero	n/a	0.50	areal	18	0.562500	0.625000	0	1
aero	n/a	0.50	areal	19	0.750000	0.625000	0	1
aero	n/a	0.50	areal	20	0.687500	0.625000	0	1
aero	n/a	0.50	areal	21	0.687500	0.812500	0	1
aero	n/a	0.50	areal	22	0.812500	0.687500	0	1
aero	n/a	0.50	areal	23	0.812500	0.812500	0	1
aero	n/a	0.50	areal	24	0.875000	0.812500	0	1
aero	n/a	0.50	areal	25	0.625000	0.687500	0	1
aero	n/a	0.50	areal	26	0.875000	0.875000	0	1
aero	n/a	0.50	areal	27	0.937500	0.937500	0	1
aero	n/a	0.50	areal	28	0.875000	0.812500	0	1
aero	n/a	0.50	areal	29	0.812500	0.875000	0	1
aero	n/a	0.50	areal	30	0.750000	0.812500	0	1
aero	n/a	0.50	areal	31	0.562500	0.812500	0	1
aero	n/a	0.50	areal	32	0.750000	0.750000	0	1
aero	n/a	0.50	areal	33	0.625000	0.625000	0	1
aero	n/a	0.50	areal	34	0.687500	0.875000	0	1
aero	n/a	0.50	areal	35	0.812500	0.812500	0	1
aero	n/a	0.50	areal	36	0.750000	0.812500	0	1
aero	n/a	0.50	areal	37	0.687500	0.687500	0	1
aero	n/a	0.50	areal	38	0.812500	0.687500	0	1
aero	n/a	0.50	areal	39	0.750000	0.625000	0	1
gift	n/a	0.50	grpo	0	0.687500	0.750000	0	0
gift	n/a	0.50	grpo	1	0.500000	0.562500	0	0
gift	n/a	0.50	grpo	2	0.687500	0.687500	0	1
gift	n/a	0.50	grpo	3	0.750000	0.562500	0	1
gift	n/a	0.50	grpo	4	0.687500	0.687500	0	1
gift	n/a	0.50	grpo	5	0.687500	0.625000	0	1
gift	n/a	0.50	grpo	6	0.812500	0.750000	0	1
gift	n/a	0.50	grpo	7	0.687500	0.687500	0	1
gift	n/a	0.50	grpo	8	0.562500	0.625000	0	1
gift	n/a	0.50	grpo	9	0.687500	0.625000	0	1
gift	n/a	0.50	grpo	10	0.687500	0.750000	0	1
gift	n/a	0.50	grpo	11	0.687500	0.625000	0	1
gift	n/a	0.50	grpo	12	0.812500	0.750000	0	1
gift	n/a	0.50	grpo	13	0.562500	0.562500	0	1
gift	n/a	0.50	grpo	14	0.750000	0.812500	0	1
gift	n/a	0.50	grpo	15	0.750000	0.625000	0	1
gift	n/a	0.50	grpo	16	0.625000	0.625000	0	1
gift	n/a	0.50	grpo	17	0.500000	0.750000	0	1
gift	n/a	0.50	grpo	18	0.562500	0.625000	0	1
gift	n/a	0.50	grpo	19	0.625000	0.750000	0	1
gift	n/a	0.50	grpo	20	0.625000	0.687500	0	1
gift	n/a	0.50	grpo	21	0.750000	0.750000	0	1
gift	n/a	0.50	grpo	22	0.750000	0.875000	0	1
gift	n/a	0.50	grpo	23	0.875000	0.875000	0	1
gift	n/a	0.50	grpo	24	0.812500	0.875000	0	1
gift	n/a	0.50	grpo	25	0.562500	0.750000	0	1
gift	n/a	0.50	grpo	26	0.812500	0.812500	0	1
gift	n/a	0.50	grpo	27	0.937500	0.937500	0	1
gift	n/a	0.50	grpo	28	0.812500	0.875000	0	1
gift	n/a	0.50	grpo	29	0.812500	0.937500	0	1
gift	n/a	0.50	grpo	30	0.812500	0.875000	0	1
gift	n/a	0.50	grpo	31	0.750000	0.937500	0	1
gift	n/a	0.50	grpo	32	0.687500	0.750000	0	1
gift	n/a	0.50	grpo	33	0.687500	0.937500	0	1
gift	n/a	0.50	grpo	34	0.875000	1.000000	0	1
gift	n/a	0.50	grpo	35	0.937500	0.937500	0	1
gift	n/a	0.50	grpo	36	0.812500	0.937500	0	1
gift	n/a	0.50	grpo	37	0.750000	0.875000	0	1
gift	n/a	0.50	grpo	38	0.687500	0.937500	0	1
gift	n/a	0.50	grpo	39	0.750000	0.812500	0	1
gift	n/a	0.50	aero	0	0.687500	0.750000	0	0
gift	n/a	0.50	aero	1	0.687500	0.562500	0	0
gift	n/a	0.50	aero	2	0.812500	0.687500	0	1
gift	n/a	0.50	aero	3	0.687500	0.562500	0	1
gift	n/a	0.50	aero	4	0.750000	0.687500	0	1
gift	n/a	0.50	aero	5	0.562500	0.625000	0	1
gift	n/a	0.50	aero	6	0.750000	0.750000	0	1
gift	n/a	0.50	aero	7	0.625000	0.687500	0	1
gift	n/a	0.50	aero	8	0.687500	0.625000	0	1
gift	n/a	0.50	aero	9	0.625000	0.625000	0	1
gift	n/a	0.50	aero	10	0.750000	0.750000	0	1
gift	n/a	0.50	aero	11	0.562500	0.625000	0	1
gift	n/a	0.50	aero	12	0.687500	0.750000	0	1
gift	n/a	0.50	aero	13	0.562500	0.562500	0	1
gift	n/a	0.50	aero	14	0.750000	0.812500	0	1
gift	n/a	0.50	aero	15	0.812500	0.625000	0	1
gift	n/a	0.50	aero	16	0.562500	0.625000	0	1
gift	n/a	0.50	aero	17	0.562500	0.750000	0	1
gift	n/a	0.50	aero	18	0.625000	0.625000	0	1
gift	n/a	0.50	aero	19	0.625000	0.750000	0	1
gift	n/a	0.50	aero	20	0.625000	0.687500	0	1
gift	n/a	0.50	aero	21	0.812500	0.750000	0	1
gift	n/a	0.50	aero	22	0.687500	0.875000	0	1
gift	n/a	0.50	aero	23	0.812500	0.875000	0	1
gift	n/a	0.50	aero	24	0.812500	0.875000	0	1
gift	n/a	0.50	aero	25	0.687500	0.750000	0	1
gift	n/a	0.50	aero	26	0.875000	0.812500	0	1
gift	n/a	0.50	aero	27	0.937500	0.937500	0	1
gift	n/a	0.50	aero	28	0.812500	0.875000	0	1
gift	n/a	0.50	aero	29	0.875000	0.937500	0	1
gift	n/a	0.50	aero	30	0.812500	0.875000	0	1
gift	n/a	0.50	aero	31	0.812500	0.937500	0	1
gift	n/a	0.50	aero	32	0.750000	0.750000	0	1
gift	n/a	0.50	aero	33	0.625000	0.937500	0	1
gift	n/a	0.50	aero	34	0.875000	1.000000	0	1
gift	n/a	0.50	aero	35	0.812500	0.937500	0	1
gift	n/a	0.50	aero	36	0.812500	0.937500	0	1
gift	n/a	0.50	aero	37	0.687500	0.875000	0	1
gift	n/a	0.50	aero	38	0.687500	0.937500	0	1
gift	n/a	0.50	aero	39	0.625000	0.812500	0	1
gift	n/a	0.50	gift	0	0.750000	0.750000	0	0
gift	n/a	0.50	gift	1	0.562500	0.562500	0	0
gift	n/a	0.50	gift	2	0.687500	0.687500	0	1
gift	n/a	0.50	gift	3	0.562500	0.562500	0	1
gift	n/a	0.50	gift	4	0.687500	0.687500	0	1
gift	n/a	0.50	gift	5	0.625000	0.625000	0	1
gift	n/a	0.50	gift	6	0.750000	0.750000	0	1
gift	n/a	0.50	gift	7	0.687500	0.687500	0	1
gift	n/a	0.50	gift	8	0.625000	0.625000	0	1
gift	n/a	0.50	gift	9	0.625000	0.625000	0	1
gift	n/a	0.50	gift	10	0.750000	0.750000	0	1
gift	n/a	0.50	gift	11	0.625000	0.625000	0	1
gift	n/a	0.50	gift	12	0.750000	0.750000	0	1
gift	n/a	0.50	gift	13	0.562500	0.562500	0	1
gift	n/a	0.50	gift	14	0.812500	0.812500	0	1
gift	n/a	0.50	gift	15	0.625000	0.625000	0	1
gift	n/a	0.50	gift	16	0.625000	0.625000	0	1
gift	n/a	0.50	gift	17	0.750000	0.750000	0	1
gift	n/a	0.50	gift	18	0.625000	0.625000	0	1
gift	n/a	0.50	gift	19	0.750000	0.750000	0	1
gift	n/a	0.50	gift	20	0.687500	0.687500	0	1
gift	n/a	0.50	gift	21	0.750000	0.750000	0	1
gift	n/a	0.50	gift	22	0.875000	0.875000	0	1
gift	n/a	0.50	gift	23	0.875000	0.875000	0	1
gift	n/a	0.50	gift	24	0.875000	0.875000	0	1
gift	n/a	0.50	gift	25	0.750000	0.750000	0	1
gift	n/a	0.50	gift	26	0.812500	0.812500	0	1
gift	n/a	0.50	gift	27	0.937500	0.937500	0	1
gift	n/a	0.50	gift	28	0.875000	0.875000	0	1
gift	n/a	0.50	gift	29	0.937500	0.937500	0	1
gift	n/a	0.50	gift	30	0.875000	0.875000	0	1
gift	n/a	0.50	gift	31	0.937500	0.937500	0	1
gift	n/a	0.50	gift	32	0.750000	0.750000	0	1
gift	n/a	0.50	gift	33	0.937500	0.937500	0	1
gift	n/a	0.50	gift	34	1.000000	1.000000	0	1
gift	n/a	0.50	gift	35	0.937500	0.937500	0	1
gift	n/a	0.50	gift	36	0.937500	0.937500	0	1
gift	n/a	0.50	gift	37	0.875000	0.875000	0	1
gift	n/a	0.50	gift	38	0.937500	0.937500	0	1
gift	n/a	0.50	gift	39	0.812500	0.812500	0	1
gift	n/a	0.50	areal	0	0.687500	0.750000	0	0
gift	n/a	0.50	areal	1	0.500000	0.562500	0	0
gift	n/a	0.50	areal	2	0.687500	0.687500	0	1
gift	n/a	0.50	areal	3	0.687500	0.562500	0	1
gift	n/a	0.50	areal	4	0.500000	0.687500	0	1
gift	n/a	0.50	areal	5	0.750000	0.625000	0	1
gift	n/a	0.50	areal	6	0.687500	0.750000	0	1
gift	n/a	0.50	areal	7	0.875000	0.687500	0	1
gift	n/a	0.50	areal	8	0.625000	0.625000	0	1
gift	n/a	0.50	areal	9	0.687500	0.625000	0	1
gift	n/a	0.50	areal	10	0.687500	0.750000	0	1
gift	n/a	0.50	areal	11	0.500000	0.625000	0	1
gift	n/a	0.50	areal	12	0.812500	0.750000	0	1
