method	config	step	zvf	applied_G	fire_step
aero	C_raw_tau_0.70	28	0.8125	16	1
aero	C_raw_tau_0.70	29	0.875	16	1
aero	C_raw_tau_0.70	30	0.8125	16	1
aero	C_raw_tau_0.70	31	0.8125	16	1
aero	C_raw_tau_0.70	32	0.75	16	1
aero	C_raw_tau_0.70	33	0.625	8	0
aero	C_raw_tau_0.70	34	0.875	16	1
aero	C_raw_tau_0.70	35	0.8125	16	1
aero	C_raw_tau_0.70	36	0.8125	16	1
aero	C_raw_tau_0.70	37	0.6875	8	0
aero	C_raw_tau_0.70	38	0.6875	8	0
aero	C_raw_tau_0.70	39	0.625	8	0
aero	C_sym_0.70_2_2	0	0.6875	8	0
aero	C_sym_0.70_2_2	1	0.6875	8	0
aero	C_sym_0.70_2_2	2	0.8125	8	0
aero	C_sym_0.70_2_2	3	0.6875	8	0
aero	C_sym_0.70_2_2	4	0.75	8	0
aero	C_sym_0.70_2_2	5	0.5625	8	0
aero	C_sym_0.70_2_2	6	0.75	8	0
aero	C_sym_0.70_2_2	7	0.625	8	0
aero	C_sym_0.70_2_2	8	0.6875	8	0
aero	C_sym_0.70_2_2	9	0.625	8	0
aero	C_sym_0.70_2_2	10	0.75	8	0
aero	C_sym_0.70_2_2	11	0.5625	8	0
aero	C_sym_0.70_2_2	12	0.6875	8	0
aero	C_sym_0.70_2_2	13	0.5625	8	0
aero	C_sym_0.70_2_2	14	0.75	8	0
aero	C_sym_0.70_2_2	15	0.8125	16	1
aero	C_sym_0.70_2_2	16	0.5625	16	1
aero	C_sym_0.70_2_2	17	0.5625	8	0
aero	C_sym_0.70_2_2	18	0.625	8	0
aero	C_sym_0.70_2_2	19	0.625	8	0
aero	C_sym_0.70_2_2	20	0.625	8	0
aero	C_sym_0.70_2_2	21	0.8125	8	0
aero	C_sym_0.70_2_2	22	0.6875	8	0
aero	C_sym_0.70_2_2	23	0.8125	8	0
aero	C_sym_0.70_2_2	24	0.8125	16	1
aero	C_sym_0.70_2_2	25	0.6875	16	1
aero	C_sym_0.70_2_2	26	0.875	16	1
aero	C_sym_0.70_2_2	27	0.9375	16	1
aero	C_sym_0.70_2_2	28	0.8125	16	1
aero	C_sym_0.70_2_2	29	0.875	16	1
aero	C_sym_0.70_2_2	30	0.8125	16	1
aero	C_sym_0.70_2_2	31	0.8125	16	1
aero	C_sym_0.70_2_2	32	0.75	16	1
aero	C_sym_0.70_2_2	33	0.625	16	1
aero	C_sym_0.70_2_2	34	0.875	16	1
aero	C_sym_0.70_2_2	35	0.8125	16	1
aero	C_sym_0.70_2_2	36	0.8125	16	1
aero	C_sym_0.70_2_2	37	0.6875	16	1
aero	C_sym_0.70_2_2	38	0.6875	8	0
aero	C_sym_0.70_2_2	39	0.625	8	0
aero	C_sym_0.70_3_3	0	0.6875	8	0
aero	C_sym_0.70_3_3	1	0.6875	8	0
aero	C_sym_0.70_3_3	2	0.8125	8	0
aero	C_sym_0.70_3_3	3	0.6875	8	0
aero	C_sym_0.70_3_3	4	0.75	8	0
aero	C_sym_0.70_3_3	5	0.5625	8	0
aero	C_sym_0.70_3_3	6	0.75	8	0
aero	C_sym_0.70_3_3	7	0.625	8	0
aero	C_sym_0.70_3_3	8	0.6875	8	0
aero	C_sym_0.70_3_3	9	0.625	8	0
aero	C_sym_0.70_3_3	10	0.75	8	0
aero	C_sym_0.70_3_3	11	0.5625	8	0
aero	C_sym_0.70_3_3	12	0.6875	8	0
aero	C_sym_0.70_3_3	13	0.5625	8	0
aero	C_sym_0.70_3_3	14	0.75	8	0
aero	C_sym_0.70_3_3	15	0.8125	8	0
aero	C_sym_0.70_3_3	16	0.5625	8	0
aero	C_sym_0.70_3_3	17	0.5625	8	0
aero	C_sym_0.70_3_3	18	0.625	8	0
aero	C_sym_0.70_3_3	19	0.625	8	0
aero	C_sym_0.70_3_3	20	0.625	8	0
aero	C_sym_0.70_3_3	21	0.8125	8	0
aero	C_sym_0.70_3_3	22	0.6875	8	0
aero	C_sym_0.70_3_3	23	0.8125	8	0
aero	C_sym_0.70_3_3	24	0.8125	8	0
aero	C_sym_0.70_3_3	25	0.6875	8	0
aero	C_sym_0.70_3_3	26	0.875	8	0
aero	C_sym_0.70_3_3	27	0.9375	8	0
aero	C_sym_0.70_3_3	28	0.8125	16	1
aero	C_sym_0.70_3_3	29	0.875	16	1
aero	C_sym_0.70_3_3	30	0.8125	16	1
aero	C_sym_0.70_3_3	31	0.8125	16	1
aero	C_sym_0.70_3_3	32	0.75	16	1
aero	C_sym_0.70_3_3	33	0.625	16	1
aero	C_sym_0.70_3_3	34	0.875	16	1
aero	C_sym_0.70_3_3	35	0.8125	16	1
aero	C_sym_0.70_3_3	36	0.8125	16	1
aero	C_sym_0.70_3_3	37	0.6875	16	1
aero	C_sym_0.70_3_3	38	0.6875	16	1
aero	C_sym_0.70_3_3	39	0.625	8	0
aero	C_sym_0.75_2_2	0	0.6875	8	0
aero	C_sym_0.75_2_2	1	0.6875	8	0
aero	C_sym_0.75_2_2	2	0.8125	8	0
aero	C_sym_0.75_2_2	3	0.6875	8	0
aero	C_sym_0.75_2_2	4	0.75	8	0
aero	C_sym_0.75_2_2	5	0.5625	8	0
aero	C_sym_0.75_2_2	6	0.75	8	0
aero	C_sym_0.75_2_2	7	0.625	8	0
aero	C_sym_0.75_2_2	8	0.6875	8	0
aero	C_sym_0.75_2_2	9	0.625	8	0
aero	C_sym_0.75_2_2	10	0.75	8	0
aero	C_sym_0.75_2_2	11	0.5625	8	0
aero	C_sym_0.75_2_2	12	0.6875	8	0
aero	C_sym_0.75_2_2	13	0.5625	8	0
aero	C_sym_0.75_2_2	14	0.75	8	0
aero	C_sym_0.75_2_2	15	0.8125	16	1
aero	C_sym_0.75_2_2	16	0.5625	16	1
aero	C_sym_0.75_2_2	17	0.5625	8	0
aero	C_sym_0.75_2_2	18	0.625	8	0
aero	C_sym_0.75_2_2	19	0.625	8	0
aero	C_sym_0.75_2_2	20	0.625	8	0
aero	C_sym_0.75_2_2	21	0.8125	8	0
aero	C_sym_0.75_2_2	22	0.6875	8	0
aero	C_sym_0.75_2_2	23	0.8125	8	0
aero	C_sym_0.75_2_2	24	0.8125	16	1
aero	C_sym_0.75_2_2	25	0.6875	16	1
aero	C_sym_0.75_2_2	26	0.875	16	1
aero	C_sym_0.75_2_2	27	0.9375	16	1
aero	C_sym_0.75_2_2	28	0.8125	16	1
aero	C_sym_0.75_2_2	29	0.875	16	1
aero	C_sym_0.75_2_2	30	0.8125	16	1
aero	C_sym_0.75_2_2	31	0.8125	16	1
aero	C_sym_0.75_2_2	32	0.75	16	1
aero	C_sym_0.75_2_2	33	0.625	16	1
aero	C_sym_0.75_2_2	34	0.875	16	1
aero	C_sym_0.75_2_2	35	0.8125	16	1
aero	C_sym_0.75_2_2	36	0.8125	16	1
aero	C_sym_0.75_2_2	37	0.6875	16	1
aero	C_sym_0.75_2_2	38	0.6875	8	0
aero	C_sym_0.75_2_2	39	0.625	8	0
aero	C_asym_0.70_1_4	0	0.6875	8	0
aero	C_asym_0.70_1_4	1	0.6875	8	0
aero	C_asym_0.70_1_4	2	0.8125	16	1
aero	C_asym_0.70_1_4	3	0.6875	16	1
aero	C_asym_0.70_1_4	4	0.75	16	1
aero	C_asym_0.70_1_4	5	0.5625	16	1
aero	C_asym_0.70_1_4	6	0.75	16	1
aero	C_asym_0.70_1_4	7	0.625	16	1
aero	C_asym_0.70_1_4	8	0.6875	16	1
aero	C_asym_0.70_1_4	9	0.625	16	1
aero	C_asym_0.70_1_4	10	0.75	16	1
aero	C_asym_0.70_1_4	11	0.5625	16	1
aero	C_asym_0.70_1_4	12	0.6875	16	1
aero	C_asym_0.70_1_4	13	0.5625	16	1
aero	C_asym_0.70_1_4	14	0.75	16	1
aero	C_asym_0.70_1_4	15	0.8125	16	1
aero	C_asym_0.70_1_4	16	0.5625	16	1
aero	C_asym_0.70_1_4	17	0.5625	16	1
aero	C_asym_0.70_1_4	18	0.625	16	1
aero	C_asym_0.70_1_4	19	0.625	8	0
aero	C_asym_0.70_1_4	20	0.625	8	0
aero	C_asym_0.70_1_4	21	0.8125	16	1
aero	C_asym_0.70_1_4	22	0.6875	16	1
aero	C_asym_0.70_1_4	23	0.8125	16	1
aero	C_asym_0.70_1_4	24	0.8125	16	1
aero	C_asym_0.70_1_4	25	0.6875	16	1
aero	C_asym_0.70_1_4	26	0.875	16	1
aero	C_asym_0.70_1_4	27	0.9375	16	1
aero	C_asym_0.70_1_4	28	0.8125	16	1
aero	C_asym_0.70_1_4	29	0.875	16	1
aero	C_asym_0.70_1_4	30	0.8125	16	1
aero	C_asym_0.70_1_4	31	0.8125	16	1
aero	C_asym_0.70_1_4	32	0.75	16	1
aero	C_asym_0.70_1_4	33	0.625	16	1
aero	C_asym_0.70_1_4	34	0.875	16	1
aero	C_asym_0.70_1_4	35	0.8125	16	1
aero	C_asym_0.70_1_4	36	0.8125	16	1
aero	C_asym_0.70_1_4	37	0.6875	16	1
aero	C_asym_0.70_1_4	38	0.6875	16	1
aero	C_asym_0.70_1_4	39	0.625	16	1
aero	C_asym_0.70_1_3	0	0.6875	8	0
aero	C_asym_0.70_1_3	1	0.6875	8	0
aero	C_asym_0.70_1_3	2	0.8125	16	1
aero	C_asym_0.70_1_3	3	0.6875	16	1
aero	C_asym_0.70_1_3	4	0.75	16	1
aero	C_asym_0.70_1_3	5	0.5625	16	1
aero	C_asym_0.70_1_3	6	0.75	16	1
aero	C_asym_0.70_1_3	7	0.625	16	1
aero	C_asym_0.70_1_3	8	0.6875	16	1
aero	C_asym_0.70_1_3	9	0.625	8	0
aero	C_asym_0.70_1_3	10	0.75	16	1
aero	C_asym_0.70_1_3	11	0.5625	16	1
aero	C_asym_0.70_1_3	12	0.6875	16	1
aero	C_asym_0.70_1_3	13	0.5625	8	0
aero	C_asym_0.70_1_3	14	0.75	16	1
aero	C_asym_0.70_1_3	15	0.8125	16	1
aero	C_asym_0.70_1_3	16	0.5625	16	1
aero	C_asym_0.70_1_3	17	0.5625	16	1
aero	C_asym_0.70_1_3	18	0.625	8	0
aero	C_asym_0.70_1_3	19	0.625	8	0
aero	C_asym_0.70_1_3	20	0.625	8	0
aero	C_asym_0.70_1_3	21	0.8125	16	1
aero	C_asym_0.70_1_3	22	0.6875	16	1
aero	C_asym_0.70_1_3	23	0.8125	16	1
aero	C_asym_0.70_1_3	24	0.8125	16	1
aero	C_asym_0.70_1_3	25	0.6875	16	1
aero	C_asym_0.70_1_3	26	0.875	16	1
aero	C_asym_0.70_1_3	27	0.9375	16	1
aero	C_asym_0.70_1_3	28	0.8125	16	1
aero	C_asym_0.70_1_3	29	0.875	16	1
aero	C_asym_0.70_1_3	30	0.8125	16	1
aero	C_asym_0.70_1_3	31	0.8125	16	1
aero	C_asym_0.70_1_3	32	0.75	16	1
aero	C_asym_0.70_1_3	33	0.625	16	1
aero	C_asym_0.70_1_3	34	0.875	16	1
aero	C_asym_0.70_1_3	35	0.8125	16	1
aero	C_asym_0.70_1_3	36	0.8125	16	1
aero	C_asym_0.70_1_3	37	0.6875	16	1
aero	C_asym_0.70_1_3	38	0.6875	16	1
aero	C_asym_0.70_1_3	39	0.625	8	0
aero	C_asym_0.70_2_4	0	0.6875	8	0
aero	C_asym_0.70_2_4	1	0.6875	8	0
aero	C_asym_0.70_2_4	2	0.8125	8	0
aero	C_asym_0.70_2_4	3	0.6875	8	0
aero	C_asym_0.70_2_4	4	0.75	8	0
aero	C_asym_0.70_2_4	5	0.5625	8	0
aero	C_asym_0.70_2_4	6	0.75	8	0
aero	C_asym_0.70_2_4	7	0.625	8	0
aero	C_asym_0.70_2_4	8	0.6875	8	0
aero	C_asym_0.70_2_4	9	0.625	8	0
aero	C_asym_0.70_2_4	10	0.75	8	0
aero	C_asym_0.70_2_4	11	0.5625	8	0
aero	C_asym_0.70_2_4	12	0.6875	8	0
aero	C_asym_0.70_2_4	13	0.5625	8	0
aero	C_asym_0.70_2_4	14	0.75	8	0
aero	C_asym_0.70_2_4	15	0.8125	16	1
aero	C_asym_0.70_2_4	16	0.5625	16	1
aero	C_asym_0.70_2_4	17	0.5625	16	1
aero	C_asym_0.70_2_4	18	0.625	16	1
aero	C_asym_0.70_2_4	19	0.625	8	0
aero	C_asym_0.70_2_4	20	0.625	8	0
aero	C_asym_0.70_2_4	21	0.8125	8	0
aero	C_asym_0.70_2_4	22	0.6875	8	0
aero	C_asym_0.70_2_4	23	0.8125	8	0
aero	C_asym_0.70_2_4	24	0.8125	16	1
aero	C_asym_0.70_2_4	25	0.6875	16	1
aero	C_asym_0.70_2_4	26	0.875	16	1
aero	C_asym_0.70_2_4	27	0.9375	16	1
aero	C_asym_0.70_2_4	28	0.8125	16	1
aero	C_asym_0.70_2_4	29	0.875	16	1
aero	C_asym_0.70_2_4	30	0.8125	16	1
aero	C_asym_0.70_2_4	31	0.8125	16	1
aero	C_asym_0.70_2_4	32	0.75	16	1
aero	C_asym_0.70_2_4	33	0.625	16	1
aero	C_asym_0.70_2_4	34	0.875	16	1
aero	C_asym_0.70_2_4	35	0.8125	16	1
aero	C_asym_0.70_2_4	36	0.8125	16	1
aero	C_asym_0.70_2_4	37	0.6875	16	1
aero	C_asym_0.70_2_4	38	0.6875	16	1
aero	C_asym_0.70_2_4	39	0.625	16	1
aero	C_asym_0.75_1_4	0	0.6875	8	0
aero	C_asym_0.75_1_4	1	0.6875	8	0
aero	C_asym_0.75_1_4	2	0.8125	16	1
aero	C_asym_0.75_1_4	3	0.6875	16	1
aero	C_asym_0.75_1_4	4	0.75	16	1
aero	C_asym_0.75_1_4	5	0.5625	16	1
aero	C_asym_0.75_1_4	6	0.75	16	1
aero	C_asym_0.75_1_4	7	0.625	16	1
aero	C_asym_0.75_1_4	8	0.6875	16	1
aero	C_asym_0.75_1_4	9	0.625	16	1
aero	C_asym_0.75_1_4	10	0.75	16	1
aero	C_asym_0.75_1_4	11	0.5625	16	1
aero	C_asym_0.75_1_4	12	0.6875	16	1
aero	C_asym_0.75_1_4	13	0.5625	16	1
aero	C_asym_0.75_1_4	14	0.75	16	1
aero	C_asym_0.75_1_4	15	0.8125	16	1
aero	C_asym_0.75_1_4	16	0.5625	16	1
aero	C_asym_0.75_1_4	17	0.5625	16	1
aero	C_asym_0.75_1_4	18	0.625	16	1
aero	C_asym_0.75_1_4	19	0.625	8	0
aero	C_asym_0.75_1_4	20	0.625	8	0
aero	C_asym_0.75_1_4	21	0.8125	16	1
aero	C_asym_0.75_1_4	22	0.6875	16	1
aero	C_asym_0.75_1_4	23	0.8125	16	1
aero	C_asym_0.75_1_4	24	0.8125	16	1
aero	C_asym_0.75_1_4	25	0.6875	16	1
aero	C_asym_0.75_1_4	26	0.875	16	1
aero	C_asym_0.75_1_4	27	0.9375	16	1
aero	C_asym_0.75_1_4	28	0.8125	16	1
aero	C_asym_0.75_1_4	29	0.875	16	1
aero	C_asym_0.75_1_4	30	0.8125	16	1
aero	C_asym_0.75_1_4	31	0.8125	16	1
aero	C_asym_0.75_1_4	32	0.75	16	1
aero	C_asym_0.75_1_4	33	0.625	16	1
aero	C_asym_0.75_1_4	34	0.875	16	1
aero	C_asym_0.75_1_4	35	0.8125	16	1
aero	C_asym_0.75_1_4	36	0.8125	16	1
aero	C_asym_0.75_1_4	37	0.6875	16	1
aero	C_asym_0.75_1_4	38	0.6875	16	1
aero	C_asym_0.75_1_4	39	0.625	16	1
aero	C_asym_0.75_1_3	0	0.6875	8	0
aero	C_asym_0.75_1_3	1	0.6875	8	0
aero	C_asym_0.75_1_3	2	0.8125	16	1
aero	C_asym_0.75_1_3	3	0.6875	16	1
aero	C_asym_0.75_1_3	4	0.75	16	1
aero	C_asym_0.75_1_3	5	0.5625	16	1
aero	C_asym_0.75_1_3	6	0.75	16	1
aero	C_asym_0.75_1_3	7	0.625	16	1
aero	C_asym_0.75_1_3	8	0.6875	16	1
aero	C_asym_0.75_1_3	9	0.625	8	0
aero	C_asym_0.75_1_3	10	0.75	16	1
aero	C_asym_0.75_1_3	11	0.5625	16	1
aero	C_asym_0.75_1_3	12	0.6875	16	1
aero	C_asym_0.75_1_3	13	0.5625	8	0
aero	C_asym_0.75_1_3	14	0.75	16	1
aero	C_asym_0.75_1_3	15	0.8125	16	1
aero	C_asym_0.75_1_3	16	0.5625	16	1
aero	C_asym_0.75_1_3	17	0.5625	16	1
aero	C_asym_0.75_1_3	18	0.625	8	0
aero	C_asym_0.75_1_3	19	0.625	8	0
aero	C_asym_0.75_1_3	20	0.625	8	0
aero	C_asym_0.75_1_3	21	0.8125	16	1
aero	C_asym_0.75_1_3	22	0.6875	16	1
aero	C_asym_0.75_1_3	23	0.8125	16	1
aero	C_asym_0.75_1_3	24	0.8125	16	1
aero	C_asym_0.75_1_3	25	0.6875	16	1
aero	C_asym_0.75_1_3	26	0.875	16	1
aero	C_asym_0.75_1_3	27	0.9375	16	1
aero	C_asym_0.75_1_3	28	0.8125	16	1
aero	C_asym_0.75_1_3	29	0.875	16	1
aero	C_asym_0.75_1_3	30	0.8125	16	1
aero	C_asym_0.75_1_3	31	0.8125	16	1
aero	C_asym_0.75_1_3	32	0.75	16	1
aero	C_asym_0.75_1_3	33	0.625	16	1
aero	C_asym_0.75_1_3	34	0.875	16	1
aero	C_asym_0.75_1_3	35	0.8125	16	1
aero	C_asym_0.75_1_3	36	0.8125	16	1
aero	C_asym_0.75_1_3	37	0.6875	16	1
aero	C_asym_0.75_1_3	38	0.6875	16	1
aero	C_asym_0.75_1_3	39	0.625	8	0
aero	C_asym_0.80_1_4	0	0.6875	8	0
aero	C_asym_0.80_1_4	1	0.6875	8	0
aero	C_asym_0.80_1_4	2	0.8125	16	1
aero	C_asym_0.80_1_4	3	0.6875	16	1
aero	C_asym_0.80_1_4	4	0.75	16	1
aero	C_asym_0.80_1_4	5	0.5625	16	1
aero	C_asym_0.80_1_4	6	0.75	8	0
aero	C_asym_0.80_1_4	7	0.625	8	0
aero	C_asym_0.80_1_4	8	0.6875	8	0
aero	C_asym_0.80_1_4	9	0.625	8	0
aero	C_asym_0.80_1_4	10	0.75	8	0
aero	C_asym_0.80_1_4	11	0.5625	8	0
aero	C_asym_0.80_1_4	12	0.6875	8	0
aero	C_asym_0.80_1_4	13	0.5625	8	0
aero	C_asym_0.80_1_4	14	0.75	8	0
aero	C_asym_0.80_1_4	15	0.8125	16	1
aero	C_asym_0.80_1_4	16	0.5625	16	1
aero	C_asym_0.80_1_4	17	0.5625	16	1
aero	C_asym_0.80_1_4	18	0.625	16	1
aero	C_asym_0.80_1_4	19	0.625	8	0
aero	C_asym_0.80_1_4	20	0.625	8	0
aero	C_asym_0.80_1_4	21	0.8125	16	1
aero	C_asym_0.80_1_4	22	0.6875	16	1
aero	C_asym_0.80_1_4	23	0.8125	16	1
aero	C_asym_0.80_1_4	24	0.8125	16	1
aero	C_asym_0.80_1_4	25	0.6875	16	1
aero	C_asym_0.80_1_4	26	0.875	16	1
aero	C_asym_0.80_1_4	27	0.9375	16	1
aero	C_asym_0.80_1_4	28	0.8125	16	1
aero	C_asym_0.80_1_4	29	0.875	16	1
aero	C_asym_0.80_1_4	30	0.8125	16	1
aero	C_asym_0.80_1_4	31	0.8125	16	1
aero	C_asym_0.80_1_4	32	0.75	16	1
aero	C_asym_0.80_1_4	33	0.625	16	1
aero	C_asym_0.80_1_4	34	0.875	16	1
aero	C_asym_0.80_1_4	35	0.8125	16	1
aero	C_asym_0.80_1_4	36	0.8125	16	1
aero	C_asym_0.80_1_4	37	0.6875	16	1
aero	C_asym_0.80_1_4	38	0.6875	16	1
aero	C_asym_0.80_1_4	39	0.625	16	1
aero	C_asym_0.80_1_3	0	0.6875	8	0
aero	C_asym_0.80_1_3	1	0.6875	8	0
aero	C_asym_0.80_1_3	2	0.8125	16	1
aero	C_asym_0.80_1_3	3	0.6875	16	1
aero	C_asym_0.80_1_3	4	0.75	16	1
aero	C_asym_0.80_1_3	5	0.5625	8	0
aero	C_asym_0.80_1_3	6	0.75	8	0
aero	C_asym_0.80_1_3	7	0.625	8	0
aero	C_asym_0.80_1_3	8	0.6875	8	0
aero	C_asym_0.80_1_3	9	0.625	8	0
aero	C_asym_0.80_1_3	10	0.75	8	0
aero	C_asym_0.80_1_3	11	0.5625	8	0
aero	C_asym_0.80_1_3	12	0.6875	8	0
aero	C_asym_0.80_1_3	13	0.5625	8	0
aero	C_asym_0.80_1_3	14	0.75	8	0
aero	C_asym_0.80_1_3	15	0.8125	16	1
aero	C_asym_0.80_1_3	16	0.5625	16	1
aero	C_asym_0.80_1_3	17	0.5625	16	1
aero	C_asym_0.80_1_3	18	0.625	8	0
aero	C_asym_0.80_1_3	19	0.625	8	0
aero	C_asym_0.80_1_3	20	0.625	8	0
aero	C_asym_0.80_1_3	21	0.8125	16	1
aero	C_asym_0.80_1_3	22	0.6875	16	1
aero	C_asym_0.80_1_3	23	0.8125	16	1
aero	C_asym_0.80_1_3	24	0.8125	16	1
aero	C_asym_0.80_1_3	25	0.6875	16	1
aero	C_asym_0.80_1_3	26	0.875	16	1
aero	C_asym_0.80_1_3	27	0.9375	16	1
aero	C_asym_0.80_1_3	28	0.8125	16	1
aero	C_asym_0.80_1_3	29	0.875	16	1
aero	C_asym_0.80_1_3	30	0.8125	16	1
aero	C_asym_0.80_1_3	31	0.8125	16	1
aero	C_asym_0.80_1_3	32	0.75	16	1
aero	C_asym_0.80_1_3	33	0.625	16	1
aero	C_asym_0.80_1_3	34	0.875	16	1
aero	C_asym_0.80_1_3	35	0.8125	16	1
aero	C_asym_0.80_1_3	36	0.8125	16	1
aero	C_asym_0.80_1_3	37	0.6875	16	1
aero	C_asym_0.80_1_3	38	0.6875	16	1
aero	C_asym_0.80_1_3	39	0.625	8	0
aero	C_asym_0.70_1_5	0	0.6875	8	0
aero	C_asym_0.70_1_5	1	0.6875	8	0
aero	C_asym_0.70_1_5	2	0.8125	16	1
aero	C_asym_0.70_1_5	3	0.6875	16	1
aero	C_asym_0.70_1_5	4	0.75	16	1
aero	C_asym_0.70_1_5	5	0.5625	16	1
aero	C_asym_0.70_1_5	6	0.75	16	1
aero	C_asym_0.70_1_5	7	0.625	16	1
aero	C_asym_0.70_1_5	8	0.6875	16	1
aero	C_asym_0.70_1_5	9	0.625	16	1
aero	C_asym_0.70_1_5	10	0.75	16	1
aero	C_asym_0.70_1_5	11	0.5625	16	1
aero	C_asym_0.70_1_5	12	0.6875	16	1
aero	C_asym_0.70_1_5	13	0.5625	16	1
aero	C_asym_0.70_1_5	14	0.75	16	1
aero	C_asym_0.70_1_5	15	0.8125	16	1
aero	C_asym_0.70_1_5	16	0.5625	16	1
aero	C_asym_0.70_1_5	17	0.5625	16	1
aero	C_asym_0.70_1_5	18	0.625	16	1
aero	C_asym_0.70_1_5	19	0.625	16	1
aero	C_asym_0.70_1_5	20	0.625	8	0
aero	C_asym_0.70_1_5	21	0.8125	16	1
aero	C_asym_0.70_1_5	22	0.6875	16	1
aero	C_asym_0.70_1_5	23	0.8125	16	1
aero	C_asym_0.70_1_5	24	0.8125	16	1
aero	C_asym_0.70_1_5	25	0.6875	16	1
aero	C_asym_0.70_1_5	26	0.875	16	1
aero	C_asym_0.70_1_5	27	0.9375	16	1
aero	C_asym_0.70_1_5	28	0.8125	16	1
aero	C_asym_0.70_1_5	29	0.875	16	1
aero	C_asym_0.70_1_5	30	0.8125	16	1
aero	C_asym_0.70_1_5	31	0.8125	16	1
aero	C_asym_0.70_1_5	32	0.75	16	1
aero	C_asym_0.70_1_5	33	0.625	16	1
aero	C_asym_0.70_1_5	34	0.875	16	1
aero	C_asym_0.70_1_5	35	0.8125	16	1
aero	C_asym_0.70_1_5	36	0.8125	16	1
aero	C_asym_0.70_1_5	37	0.6875	16	1
aero	C_asym_0.70_1_5	38	0.6875	16	1
aero	C_asym_0.70_1_5	39	0.625	16	1
gift	C_raw_tau_0.70	0	0.75	16	1
gift	C_raw_tau_0.70	1	0.5625	8	0
gift	C_raw_tau_0.70	2	0.6875	8	0
gift	C_raw_tau_0.70	3	0.5625	8	0
gift	C_raw_tau_0.70	4	0.6875	8	0
gift	C_raw_tau_0.70	5	0.625	8	0
gift	C_raw_tau_0.70	6	0.75	16	1
gift	C_raw_tau_0.70	7	0.6875	8	0
gift	C_raw_tau_0.70	8	0.625	8	0
gift	C_raw_tau_0.70	9	0.625	8	0
gift	C_raw_tau_0.70	10	0.75	16	1
gift	C_raw_tau_0.70	11	0.625	8	0
gift	C_raw_tau_0.70	12	0.75	16	1
gift	C_raw_tau_0.70	13	0.5625	8	0
gift	C_raw_tau_0.70	14	0.8125	16	1
gift	C_raw_tau_0.70	15	0.625	8	0
gift	C_raw_tau_0.70	16	0.625	8	0
gift	C_raw_tau_0.70	17	0.75	16	1
gift	C_raw_tau_0.70	18	0.625	8	0
gift	C_raw_tau_0.70	19	0.75	16	1
gift	C_raw_tau_0.70	20	0.6875	8	0
gift	C_raw_tau_0.70	21	0.75	16	1
gift	C_raw_tau_0.70	22	0.875	16	1
gift	C_raw_tau_0.70	23	0.875	16	1
gift	C_raw_tau_0.70	24	0.875	16	1
gift	C_raw_tau_0.70	25	0.75	16	1
gift	C_raw_tau_0.70	26	0.8125	16	1
gift	C_raw_tau_0.70	27	0.9375	16	1
gift	C_raw_tau_0.70	28	0.875	16	1
gift	C_raw_tau_0.70	29	0.9375	16	1
gift	C_raw_tau_0.70	30	0.875	16	1
gift	C_raw_tau_0.70	31	0.9375	16	1
gift	C_raw_tau_0.70	32	0.75	16	1
gift	C_raw_tau_0.70	33	0.9375	16	1
gift	C_raw_tau_0.70	34	1.0	16	1
gift	C_raw_tau_0.70	35	0.9375	16	1
gift	C_raw_tau_0.70	36	0.9375	16	1
gift	C_raw_tau_0.70	37	0.875	16	1
gift	C_raw_tau_0.70	38	0.9375	16	1
gift	C_raw_tau_0.70	39	0.8125	16	1
gift	C_sym_0.70_2_2	0	0.75	8	0
gift	C_sym_0.70_2_2	1	0.5625	8	0
gift	C_sym_0.70_2_2	2	0.6875	8	0
gift	C_sym_0.70_2_2	3	0.5625	8	0
gift	C_sym_0.70_2_2	4	0.6875	8	0
gift	C_sym_0.70_2_2	5	0.625	8	0
gift	C_sym_0.70_2_2	6	0.75	8	0
gift	C_sym_0.70_2_2	7	0.6875	8	0
gift	C_sym_0.70_2_2	8	0.625	8	0
gift	C_sym_0.70_2_2	9	0.625	8	0
gift	C_sym_0.70_2_2	10	0.75	8	0
gift	C_sym_0.70_2_2	11	0.625	8	0
gift	C_sym_0.70_2_2	12	0.75	8	0
gift	C_sym_0.70_2_2	13	0.5625	8	0
gift	C_sym_0.70_2_2	14	0.8125	8	0
gift	C_sym_0.70_2_2	15	0.625	8	0
gift	C_sym_0.70_2_2	16	0.625	8	0
gift	C_sym_0.70_2_2	17	0.75	8	0
gift	C_sym_0.70_2_2	18	0.625	8	0
gift	C_sym_0.70_2_2	19	0.75	8	0
gift	C_sym_0.70_2_2	20	0.6875	8	0
gift	C_sym_0.70_2_2	21	0.75	8	0
gift	C_sym_0.70_2_2	22	0.875	16	1
gift	C_sym_0.70_2_2	23	0.875	16	1
gift	C_sym_0.70_2_2	24	0.875	16	1
gift	C_sym_0.70_2_2	25	0.75	16	1
gift	C_sym_0.70_2_2	26	0.8125	16	1
gift	C_sym_0.70_2_2	27	0.9375	16	1
gift	C_sym_0.70_2_2	28	0.875	16	1
gift	C_sym_0.70_2_2	29	0.9375	16	1
gift	C_sym_0.70_2_2	30	0.875	16	1
gift	C_sym_0.70_2_2	31	0.9375	16	1
gift	C_sym_0.70_2_2	32	0.75	16	1
gift	C_sym_0.70_2_2	33	0.9375	16	1
gift	C_sym_0.70_2_2	34	1.0	16	1
