seed	step	tau	rule	zvf_obs	fired	G_used	zvf_target	salvage	cost_ratio	delta_z	net_benefit
42	4	0.65	DUALFORMER_d4	0.375	0	8	0.375	0	1	0	0
42	5	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
42	6	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
42	7	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
42	8	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
42	9	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
42	10	0.65	DUALFORMER_d4	0.25	0	8	0.25	0	1	0	0
42	11	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
42	12	0.65	DUALFORMER_d4	0.25	0	8	0.25	0	1	0	0
42	13	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
42	14	0.65	DUALFORMER_d4	0.25	0	8	0.25	0	1	0	0
42	15	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
42	1	0.65	DUALFORMER_d8	0.25	0	8	0.25	0	1	0	0
42	2	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
42	3	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
42	4	0.65	DUALFORMER_d8	0.375	0	8	0.375	0	1	0	0
42	5	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
42	6	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
42	7	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
42	8	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
42	9	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
42	10	0.65	DUALFORMER_d8	0.25	0	8	0.25	0	1	0	0
42	11	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
42	12	0.65	DUALFORMER_d8	0.25	0	8	0.25	0	1	0	0
42	13	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
42	14	0.65	DUALFORMER_d8	0.25	0	8	0.25	0	1	0	0
42	15	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
42	1	0.65	ADAPTIVE_GSTAR	0.25	0	8	0.25	0	1	0	0
42	2	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
42	3	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
42	4	0.65	ADAPTIVE_GSTAR	0.375	0	8	0.375	0	1	0	0
42	5	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
42	6	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
42	7	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
42	8	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
42	9	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
42	10	0.65	ADAPTIVE_GSTAR	0.25	0	8	0.25	0	1	0	0
42	11	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
42	12	0.65	ADAPTIVE_GSTAR	0.25	0	8	0.25	0	1	0	0
42	13	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
42	14	0.65	ADAPTIVE_GSTAR	0.25	0	8	0.25	0	1	0	0
42	15	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
179	1	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
179	2	0.65	STATIC_G16	0.5	0	8	0.5	0	1	0	0
179	3	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
179	4	0.65	STATIC_G16	0.5	0	8	0.5	0	1	0	0
179	5	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
179	6	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
179	7	0.65	STATIC_G16	0.5	0	8	0.5	0	1	0	0
179	8	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
179	9	0.65	STATIC_G16	0.5	0	8	0.5	0	1	0	0
179	10	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
179	11	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
179	12	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
179	13	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
179	14	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
179	15	0.65	STATIC_G16	0.375	0	8	0.375	0	1	0	0
179	1	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
179	2	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
179	3	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
179	4	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
179	5	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
179	6	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
179	7	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
179	8	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
179	9	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
179	10	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
179	11	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
179	12	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
179	13	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
179	14	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
179	15	0.65	DUALFORMER_d4	0.375	0	8	0.375	0	1	0	0
179	1	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
179	2	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
179	3	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
179	4	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
179	5	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
179	6	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
179	7	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
179	8	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
179	9	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
179	10	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
179	11	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
179	12	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
179	13	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
179	14	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
179	15	0.65	DUALFORMER_d8	0.375	0	8	0.375	0	1	0	0
179	1	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
179	2	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
179	3	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
179	4	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
179	5	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
179	6	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
179	7	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
179	8	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
179	9	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
179	10	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
179	11	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
179	12	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
179	13	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
179	14	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
179	15	0.65	ADAPTIVE_GSTAR	0.375	0	8	0.375	0	1	0	0
316	1	0.65	STATIC_G16	0.5	0	8	0.5	0	1	0	0
316	2	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
316	3	0.65	STATIC_G16	0.5	0	8	0.5	0	1	0	0
316	4	0.65	STATIC_G16	0.375	0	8	0.375	0	1	0	0
316	5	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
316	6	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
316	7	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
316	8	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
316	9	0.65	STATIC_G16	0.5	0	8	0.5	0	1	0	0
316	10	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
316	11	0.65	STATIC_G16	0.5	0	8	0.5	0	1	0	0
316	12	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
316	13	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
316	14	0.65	STATIC_G16	0.375	0	8	0.375	0	1	0	0
316	15	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
316	1	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
316	2	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
316	3	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
316	4	0.65	DUALFORMER_d4	0.375	0	8	0.375	0	1	0	0
316	5	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
316	6	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
316	7	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
316	8	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
316	9	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
316	10	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
316	11	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
316	12	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
316	13	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
316	14	0.65	DUALFORMER_d4	0.375	0	8	0.375	0	1	0	0
316	15	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
316	1	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
316	2	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
316	3	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
316	4	0.65	DUALFORMER_d8	0.375	0	8	0.375	0	1	0	0
316	5	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
316	6	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
316	7	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
316	8	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
316	9	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
316	10	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
316	11	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
316	12	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
316	13	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
316	14	0.65	DUALFORMER_d8	0.375	0	8	0.375	0	1	0	0
316	15	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
316	1	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
316	2	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
316	3	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
316	4	0.65	ADAPTIVE_GSTAR	0.375	0	8	0.375	0	1	0	0
316	5	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
316	6	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
316	7	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
316	8	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
316	9	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
316	10	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
316	11	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
316	12	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
316	13	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
316	14	0.65	ADAPTIVE_GSTAR	0.375	0	8	0.375	0	1	0	0
316	15	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
453	1	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	2	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	3	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
453	4	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	5	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	6	0.65	STATIC_G16	0.5	0	8	0.5	0	1	0	0
453	7	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
453	8	0.65	STATIC_G16	0.375	0	8	0.375	0	1	0	0
453	9	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
453	10	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	11	0.65	STATIC_G16	0.5	0	8	0.5	0	1	0	0
453	12	0.65	STATIC_G16	0.875	1	16	0.765625	0	2	0.109375	-0.390625
453	13	0.65	STATIC_G16	0.5	0	8	0.5	0	1	0	0
453	14	0.65	STATIC_G16	0.5	0	8	0.5	0	1	0	0
453	15	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
453	1	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	2	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	3	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
453	4	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	5	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	6	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
453	7	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
453	8	0.65	DUALFORMER_d4	0.375	0	8	0.375	0	1	0	0
453	9	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
453	10	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	11	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
453	12	0.65	DUALFORMER_d4	0.875	1	16	0.765625	0	2	0.109375	-0.390625
453	13	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
453	14	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
453	15	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
453	1	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	2	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	3	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
453	4	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	5	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	6	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
453	7	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
453	8	0.65	DUALFORMER_d8	0.375	0	8	0.375	0	1	0	0
453	9	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
453	10	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
453	11	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
453	12	0.65	DUALFORMER_d8	0.875	1	16	0.765625	0	2	0.109375	-0.390625
453	13	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
453	14	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
453	15	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
453	1	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
453	2	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
453	3	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
453	4	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
453	5	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
453	6	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
453	7	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
453	8	0.65	ADAPTIVE_GSTAR	0.375	0	8	0.375	0	1	0	0
453	9	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
453	10	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
453	11	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
453	12	0.65	ADAPTIVE_GSTAR	0.875	1	64	0.343609	0	8	0.531391	-2.96861
453	13	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
453	14	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
453	15	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
590	1	0.65	STATIC_G16	0.875	1	16	0.765625	0	2	0.109375	-0.390625
590	2	0.65	STATIC_G16	0.5	0	8	0.5	0	1	0	0
590	3	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
590	4	0.65	STATIC_G16	0.5	0	8	0.5	0	1	0	0
590	5	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
590	6	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
590	7	0.65	STATIC_G16	0.875	1	16	0.765625	0	2	0.109375	-0.390625
590	8	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
590	9	0.65	STATIC_G16	0.25	0	8	0.25	0	1	0	0
590	10	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
590	11	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
590	12	0.65	STATIC_G16	0.375	0	8	0.375	0	1	0	0
590	13	0.65	STATIC_G16	0.625	0	8	0.625	0	1	0	0
590	14	0.65	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
590	15	0.65	STATIC_G16	0.375	0	8	0.375	0	1	0	0
590	1	0.65	DUALFORMER_d4	0.875	1	16	0.765625	0	2	0.109375	-0.390625
590	2	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
590	3	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
590	4	0.65	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
590	5	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
590	6	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
590	7	0.65	DUALFORMER_d4	0.875	1	16	0.765625	0	2	0.109375	-0.390625
590	8	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
590	9	0.65	DUALFORMER_d4	0.25	0	8	0.25	0	1	0	0
590	10	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
590	11	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
590	12	0.65	DUALFORMER_d4	0.375	0	8	0.375	0	1	0	0
590	13	0.65	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
590	14	0.65	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
590	15	0.65	DUALFORMER_d4	0.375	0	8	0.375	0	1	0	0
590	1	0.65	DUALFORMER_d8	0.875	1	16	0.765625	0	2	0.109375	-0.390625
590	2	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
590	3	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
590	4	0.65	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
590	5	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
590	6	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
590	7	0.65	DUALFORMER_d8	0.875	1	16	0.765625	0	2	0.109375	-0.390625
590	8	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
590	9	0.65	DUALFORMER_d8	0.25	0	8	0.25	0	1	0	0
590	10	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
590	11	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
590	12	0.65	DUALFORMER_d8	0.375	0	8	0.375	0	1	0	0
590	13	0.65	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
590	14	0.65	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
590	15	0.65	DUALFORMER_d8	0.375	0	8	0.375	0	1	0	0
590	1	0.65	ADAPTIVE_GSTAR	0.875	1	64	0.343609	0	8	0.531391	-2.96861
590	2	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
590	3	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
590	4	0.65	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
590	5	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
590	6	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
590	7	0.65	ADAPTIVE_GSTAR	0.875	1	64	0.343609	0	8	0.531391	-2.96861
590	8	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
590	9	0.65	ADAPTIVE_GSTAR	0.25	0	8	0.25	0	1	0	0
590	10	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
590	11	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
590	12	0.65	ADAPTIVE_GSTAR	0.375	0	8	0.375	0	1	0	0
590	13	0.65	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
590	14	0.65	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
590	15	0.65	ADAPTIVE_GSTAR	0.375	0	8	0.375	0	1	0	0
42	1	0.7	STATIC_G16	0.25	0	8	0.25	0	1	0	0
42	2	0.7	STATIC_G16	0.625	0	8	0.625	0	1	0	0
42	3	0.7	STATIC_G16	0.625	0	8	0.625	0	1	0	0
42	4	0.7	STATIC_G16	0.375	0	8	0.375	0	1	0	0
42	5	0.7	STATIC_G16	0.5	0	8	0.5	0	1	0	0
42	6	0.7	STATIC_G16	0.5	0	8	0.5	0	1	0	0
42	7	0.7	STATIC_G16	0.625	0	8	0.625	0	1	0	0
42	8	0.7	STATIC_G16	0.5	0	8	0.5	0	1	0	0
42	9	0.7	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
42	10	0.7	STATIC_G16	0.25	0	8	0.25	0	1	0	0
42	11	0.7	STATIC_G16	0.75	1	16	0.5625	0	2	0.1875	-0.3125
42	12	0.7	STATIC_G16	0.25	0	8	0.25	0	1	0	0
42	13	0.7	STATIC_G16	0.625	0	8	0.625	0	1	0	0
42	14	0.7	STATIC_G16	0.25	0	8	0.25	0	1	0	0
42	15	0.7	STATIC_G16	0.5	0	8	0.5	0	1	0	0
42	1	0.7	DUALFORMER_d4	0.25	0	8	0.25	0	1	0	0
42	2	0.7	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
42	3	0.7	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
42	4	0.7	DUALFORMER_d4	0.375	0	8	0.375	0	1	0	0
42	5	0.7	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
42	6	0.7	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
42	7	0.7	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
42	8	0.7	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
42	9	0.7	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
42	10	0.7	DUALFORMER_d4	0.25	0	8	0.25	0	1	0	0
42	11	0.7	DUALFORMER_d4	0.75	1	16	0.5625	0	2	0.1875	-0.3125
42	12	0.7	DUALFORMER_d4	0.25	0	8	0.25	0	1	0	0
42	13	0.7	DUALFORMER_d4	0.625	0	8	0.625	0	1	0	0
42	14	0.7	DUALFORMER_d4	0.25	0	8	0.25	0	1	0	0
42	15	0.7	DUALFORMER_d4	0.5	0	8	0.5	0	1	0	0
42	1	0.7	DUALFORMER_d8	0.25	0	8	0.25	0	1	0	0
42	2	0.7	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
42	3	0.7	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
42	4	0.7	DUALFORMER_d8	0.375	0	8	0.375	0	1	0	0
42	5	0.7	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
42	6	0.7	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
42	7	0.7	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
42	8	0.7	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
42	9	0.7	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
42	10	0.7	DUALFORMER_d8	0.25	0	8	0.25	0	1	0	0
42	11	0.7	DUALFORMER_d8	0.75	1	16	0.5625	0	2	0.1875	-0.3125
42	12	0.7	DUALFORMER_d8	0.25	0	8	0.25	0	1	0	0
42	13	0.7	DUALFORMER_d8	0.625	0	8	0.625	0	1	0	0
42	14	0.7	DUALFORMER_d8	0.25	0	8	0.25	0	1	0	0
42	15	0.7	DUALFORMER_d8	0.5	0	8	0.5	0	1	0	0
42	1	0.7	ADAPTIVE_GSTAR	0.25	0	8	0.25	0	1	0	0
42	2	0.7	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
42	3	0.7	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
42	4	0.7	ADAPTIVE_GSTAR	0.375	0	8	0.375	0	1	0	0
42	5	0.7	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
42	6	0.7	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
42	7	0.7	ADAPTIVE_GSTAR	0.625	0	8	0.625	0	1	0	0
42	8	0.7	ADAPTIVE_GSTAR	0.5	0	8	0.5	0	1	0	0
42	9	0.7	ADAPTIVE_GSTAR	0.75	1	32	0.316406	1	4	0.433594	-1.06641
