method	controller	step	zvf	pcd	step_rollouts	fired	saved	wasted	contrast_intent	contrast_magnitude
grpo	C3_ucc@0.5	9	0.6875	0.0517578125	116	1	5	11	5	4.517736535568469
grpo	C3_ucc@0.5	10	0.6875	0.0517578125	108	1	5	11	5	4.29219464717926
grpo	C3_ucc@0.5	11	0.6875	0.056640625	144	1	5	11	5	4.302698498032376
grpo	C3_ucc@0.5	12	0.8125	0.0380859375	100	1	3	13	3	2.979412606000183
grpo	C3_ucc@0.5	13	0.5625	0.0693359375	140	1	7	9	7	5.614968790770661
grpo	C3_ucc@0.5	14	0.75	0.041015625	108	1	4	12	4	3.3027289956105013
grpo	C3_ucc@0.5	15	0.75	0.0517578125	112	1	4	12	4	3.8808179353627867
grpo	C3_ucc@0.5	16	0.625	0.07421875	152	1	6	10	6	5.6347191345518866
grpo	C3_ucc@0.5	17	0.5	0.0859375	136	1	8	8	8	6.938532546200225
grpo	C3_ucc@0.5	18	0.5625	0.0947265625	184	1	7	9	7	6.9682750043937745
grpo	C3_ucc@0.5	19	0.625	0.056640625	124	1	6	10	6	4.850021530709528
grpo	C3_ucc@0.5	20	0.625	0.072265625	128	1	6	10	6	5.625750505021148
grpo	C3_ucc@0.5	21	0.75	0.04296875	108	1	4	12	4	3.311697601141241
grpo	C3_ucc@0.5	22	0.75	0.0478515625	112	1	4	12	4	3.8708258569504626
grpo	C3_ucc@0.5	23	0.875	0.0185546875	92	1	2	14	2	1.6463684965990875
grpo	C3_ucc@0.5	24	0.8125	0.0205078125	84	1	3	13	3	2.1947150141578233
grpo	C3_ucc@0.5	25	0.5625	0.0771484375	132	1	7	9	7	6.1835773765514155
grpo	C3_ucc@0.5	26	0.8125	0.025390625	96	1	3	13	3	2.302759517188626
grpo	C3_ucc@0.5	27	0.9375	0.015625	76	1	1	15	1	0.9999695424218733
grpo	C3_ucc@0.5	28	0.8125	0.0283203125	96	1	3	13	3	2.312239859160158
grpo	C3_ucc@0.5	29	0.8125	0.029296875	84	1	3	13	3	2.3127515836009507
grpo	C3_ucc@0.5	30	0.8125	0.025390625	84	1	3	13	3	2.3027595051886265
grpo	C3_ucc@0.5	31	0.75	0.0322265625	96	1	4	12	4	3.1846924141673743
grpo	C3_ucc@0.5	32	0.6875	0.060546875	116	1	5	11	5	4.635773105011596
grpo	C3_ucc@0.5	33	0.6875	0.046875	112	1	5	11	5	3.9586082797592477
grpo	C3_ucc@0.5	34	0.875	0.0185546875	88	1	2	14	2	1.8719103729882969
grpo	C3_ucc@0.5	35	0.9375	0.01171875	100	1	1	15	1	0.9899774880095482
grpo	C3_ucc@0.5	36	0.8125	0.0283203125	96	1	3	13	3	2.312239859160158
grpo	C3_ucc@0.5	37	0.75	0.0458984375	136	1	4	12	4	3.8618572754197222
grpo	C3_ucc@0.5	38	0.6875	0.0517578125	120	1	5	11	5	4.292194659179261
grpo	C3_ucc@0.5	39	0.75	0.0478515625	124	1	4	12	4	3.870825868950462
grpo	C4_ucg@0.5	0	0.6875	0.0390625	82	0	5	11	5	3.959244805858118
grpo	C4_ucg@0.5	1	0.5	0.0908203125	100	0	8	8	8	6.130480349697052
grpo	C4_ucg@0.5	2	0.6875	0.052734375	84	0	5	11	5	3.716967186103301
grpo	C4_ucg@0.5	3	0.75	0.037109375	84	0	4	12	4	2.716997719681424
grpo	C4_ucg@0.5	4	0.6875	0.0576171875	92	0	5	11	5	4.581517909916249
grpo	C4_ucg@0.5	5	0.6875	0.056640625	122	0	5	11	5	4.66367666697312
grpo	C4_ucg@0.5	6	0.8125	0.033203125	90	0	3	13	3	2.403009422740632
grpo	C4_ucg@0.5	7	0.6875	0.0478515625	110	0	5	11	5	4.077281403301244
grpo	C4_ucg@0.5	8	0.5625	0.0732421875	118	0	7	9	7	6.156310362688763
grpo	C4_ucg@0.5	9	0.6875	0.0517578125	74	0	5	11	5	4.09470855205358
grpo	C4_ucg@0.5	10	0.6875	0.0517578125	70	0	5	11	5	3.7164554356625086
grpo	C4_ucg@0.5	11	0.6875	0.056640625	112	0	5	11	5	3.726959292515623
grpo	C4_ucg@0.5	12	0.8125	0.0380859375	58	0	3	13	3	2.799201424324833
grpo	C4_ucg@0.5	13	0.5625	0.0693359375	110	0	7	9	7	4.643701553412507
grpo	C4_ucg@0.5	14	0.75	0.041015625	70	0	4	12	4	2.7269897840937496
grpo	C4_ucg@0.5	15	0.75	0.0517578125	88	0	4	12	4	3.880817911362789
grpo	C4_ucg@0.5	16	0.625	0.07421875	124	0	6	10	6	5.301796734874673
grpo	C4_ucg@0.5	17	0.5	0.0859375	92	0	8	8	8	6.029870957006258
grpo	C4_ucg@0.5	18	0.5625	0.0947265625	148	0	7	9	7	6.697958258880748
grpo	C4_ucg@0.5	19	0.625	0.056640625	94	0	6	10	6	4.121571095190912
grpo	C4_ucg@0.5	20	0.625	0.072265625	96	0	6	10	6	5.292828101343934
grpo	C4_ucg@0.5	21	0.75	0.04296875	78	0	4	12	4	2.826063967462164
grpo	C4_ucg@0.5	22	0.75	0.0478515625	80	0	4	12	4	3.780720255112789
grpo	C4_ucg@0.5	23	0.875	0.0185546875	62	0	2	14	2	1.4035516647595494
grpo	C4_ucg@0.5	24	0.8125	0.0205078125	50	0	3	13	3	1.709081376478747
grpo	C4_ucg@0.5	25	0.5625	0.0771484375	106	0	7	9	7	5.697943746872339
grpo	C4_ucg@0.5	26	0.8125	0.025390625	64	0	3	13	3	1.8171258815095495
grpo	C4_ucg@0.5	27	0.9375	0.015625	46	0	1	15	1	0.9999695124218742
grpo	C4_ucg@0.5	28	0.8125	0.0283203125	64	0	3	13	3	1.8266062234810814
grpo	C4_ucg@0.5	29	0.8125	0.029296875	50	0	3	13	3	1.8271179459218743
grpo	C4_ucg@0.5	30	0.8125	0.025390625	50	0	3	13	3	1.81712586750955
grpo	C4_ucg@0.5	31	0.75	0.0322265625	56	0	4	12	4	2.608953200650622
grpo	C4_ucg@0.5	32	0.6875	0.060546875	74	0	5	11	5	4.212745121496708
grpo	C4_ucg@0.5	33	0.6875	0.046875	72	0	5	11	5	3.140052264402957
grpo	C4_ucg@0.5	34	0.875	0.0185546875	60	0	2	14	2	1.8719103449882977
grpo	C4_ucg@0.5	35	0.9375	0.01171875	66	0	1	15	1	0.8998718841718731
grpo	C4_ucg@0.5	36	0.8125	0.0283203125	64	0	3	13	3	1.8266062234810814
grpo	C4_ucg@0.5	37	0.75	0.0458984375	108	0	4	12	4	3.7717516775820474
grpo	C4_ucg@0.5	38	0.6875	0.0517578125	92	0	5	11	5	3.8065610275001847
grpo	C4_ucg@0.5	39	0.75	0.0478515625	94	0	4	12	4	3.7807202691127886
grpo	C2_zt@0.6	0	0.6875	0.0390625	256	1	5	11	5	4.5177092319245356
grpo	C2_zt@0.6	1	0.5	0.0908203125	128	0	8	8	8	6.745479290112364
grpo	C2_zt@0.6	2	0.6875	0.052734375	256	1	5	11	5	4.743790292398467
grpo	C2_zt@0.6	3	0.75	0.037109375	256	1	4	12	4	3.743820825976591
grpo	C2_zt@0.6	4	0.6875	0.0576171875	256	1	5	11	5	4.85183478342927
grpo	C2_zt@0.6	5	0.6875	0.056640625	256	1	5	11	5	4.753782370810791
grpo	C2_zt@0.6	6	0.8125	0.033203125	256	1	3	13	3	2.871368270969375
grpo	C2_zt@0.6	7	0.6875	0.0478515625	256	1	5	11	5	4.635745801367664
grpo	C2_zt@0.6	8	0.5625	0.0732421875	128	0	7	9	7	5.721568537232847
grpo	C2_zt@0.6	9	0.6875	0.0517578125	256	1	5	11	5	4.743278555957675
grpo	C2_zt@0.6	10	0.6875	0.0517578125	256	1	5	11	5	4.743278555957674
grpo	C2_zt@0.6	11	0.6875	0.056640625	256	1	5	11	5	4.75378237081079
grpo	C2_zt@0.6	12	0.8125	0.0380859375	256	1	3	13	3	2.9794127620001776
grpo	C2_zt@0.6	13	0.5625	0.0693359375	128	0	7	9	7	5.493949366090269
grpo	C2_zt@0.6	14	0.75	0.041015625	256	1	4	12	4	3.753812904388915
grpo	C2_zt@0.6	15	0.75	0.0517578125	256	1	4	12	4	3.8808180793627822
grpo	C2_zt@0.6	16	0.625	0.07421875	256	1	6	10	6	5.860261118941092
grpo	C2_zt@0.6	17	0.5	0.0859375	128	0	8	8	8	6.637301985844481
grpo	C2_zt@0.6	18	0.5625	0.0947265625	128	0	7	9	7	6.620780659196348
grpo	C2_zt@0.6	19	0.625	0.056640625	256	1	6	10	6	5.5266473038771515
grpo	C2_zt@0.6	20	0.625	0.072265625	256	1	6	10	6	5.851292513410352
grpo	C2_zt@0.6	21	0.75	0.04296875	256	1	4	12	4	3.7627815099196544
grpo	C2_zt@0.6	22	0.75	0.0478515625	256	1	4	12	4	3.8708260009504585
grpo	C2_zt@0.6	23	0.875	0.0185546875	256	1	2	14	2	1.8719105409882912
grpo	C2_zt@0.6	24	0.8125	0.0205078125	256	1	3	13	3	2.6457989469362366
grpo	C2_zt@0.6	25	0.5625	0.0771484375	128	0	7	9	7	5.813884211060972
grpo	C2_zt@0.6	26	0.8125	0.025390625	256	1	3	13	3	2.75384343796704
grpo	C2_zt@0.6	27	0.9375	0.015625	256	1	1	15	1	0.9999697224218665
grpo	C2_zt@0.6	28	0.8125	0.0283203125	256	1	3	13	3	2.763323779938571
grpo	C2_zt@0.6	29	0.8125	0.029296875	256	1	3	13	3	2.7638355163793635
grpo	C2_zt@0.6	30	0.8125	0.025390625	256	1	3	13	3	2.753843437967039
grpo	C2_zt@0.6	31	0.75	0.0322265625	256	1	4	12	4	3.6357763349457883
grpo	C2_zt@0.6	32	0.6875	0.060546875	256	1	5	11	5	4.861315125400801
grpo	C2_zt@0.6	33	0.6875	0.046875	256	1	5	11	5	4.6352340649268715
grpo	C2_zt@0.6	34	0.875	0.0185546875	256	1	2	14	2	1.8719105409882912
grpo	C2_zt@0.6	35	0.9375	0.01171875	256	1	1	15	1	0.9899776440095424
grpo	C2_zt@0.6	36	0.8125	0.0283203125	256	1	3	13	3	2.763323779938571
grpo	C2_zt@0.6	37	0.75	0.0458984375	256	1	4	12	4	3.861857395419718
grpo	C2_zt@0.6	38	0.6875	0.0517578125	256	1	5	11	5	4.743278555957675
grpo	C2_zt@0.6	39	0.75	0.0478515625	256	1	4	12	4	3.870826000950458
grpo	C3_ucc@0.6	0	0.6875	0.0390625	116	1	5	11	5	4.292167211535331
grpo	C3_ucc@0.6	1	0.5	0.0908203125	100	0	8	8	8	6.130480349697052
grpo	C3_ucc@0.6	2	0.6875	0.052734375	120	1	5	11	5	4.292706395620053
grpo	C3_ucc@0.6	3	0.75	0.037109375	120	1	4	12	4	3.2927369291981767
grpo	C3_ucc@0.6	4	0.6875	0.0576171875	136	1	5	11	5	4.8518346634292735
grpo	C3_ucc@0.6	5	0.6875	0.056640625	148	1	5	11	5	4.753782262810795
grpo	C3_ucc@0.6	6	0.8125	0.033203125	116	1	3	13	3	2.64582625058017
grpo	C3_ucc@0.6	7	0.6875	0.0478515625	140	1	5	11	5	4.410203804978458
grpo	C3_ucc@0.6	8	0.5625	0.0732421875	118	0	7	9	7	6.156310362688763
grpo	C3_ucc@0.6	9	0.6875	0.0517578125	116	1	5	11	5	4.517736535568469
grpo	C3_ucc@0.6	10	0.6875	0.0517578125	108	1	5	11	5	4.29219464717926
grpo	C3_ucc@0.6	11	0.6875	0.056640625	144	1	5	11	5	4.302698498032376
grpo	C3_ucc@0.6	12	0.8125	0.0380859375	100	1	3	13	3	2.979412606000183
grpo	C3_ucc@0.6	13	0.5625	0.0693359375	110	0	7	9	7	4.643701553412507
grpo	C3_ucc@0.6	14	0.75	0.041015625	108	1	4	12	4	3.3027289956105013
grpo	C3_ucc@0.6	15	0.75	0.0517578125	112	1	4	12	4	3.8808179353627867
grpo	C3_ucc@0.6	16	0.625	0.07421875	152	1	6	10	6	5.6347191345518866
grpo	C3_ucc@0.6	17	0.5	0.0859375	92	0	8	8	8	6.029870957006258
grpo	C3_ucc@0.6	18	0.5625	0.0947265625	148	0	7	9	7	6.697958258880748
grpo	C3_ucc@0.6	19	0.625	0.056640625	124	1	6	10	6	4.850021530709528
